crop,area_ha,rainfall,temp_mean,humidity,soil_ph,nitrogen,phosphorus,potassium,ndvi_mean,ndwi_mean,ndmi_mean,yield_prediction,disease_probability,historical_loss,risk_score
soybean,9.485,635.64,27.01,74.81,7.02,276.16,33.95,218.81,0.7651,-0.0282,0.3729,3.715,0.2083,0.2494,33.39
wheat,8.424,622.03,27.01,40.41,6.1,279.07,32.16,185.02,0.7043,-0.1659,0.2794,5.303,0.0952,0.2502,26.83
chickpea,9.276,619.29,25.38,65.87,7.22,366.98,22.25,108.09,0.9077,0.0054,0.1937,3.049,0.1302,0.0943,26.42
soybean,8.154,697.87,29.25,65.8,6.47,221.71,10.33,131.34,0.7593,-0.036,0.2,4.261,0.1703,0.159,32.36
wheat,8.137,337.09,33.02,74.2,7.16,180.21,15.0,209.66,0.8336,-0.1794,0.2708,4.144,0.2941,0.2795,57.37
chickpea,8.921,219.25,33.86,66.62,6.8,253.41,5.0,180.47,0.6281,-0.219,0.1299,1.418,0.2161,0.286,75.71
chickpea,8.367,519.81,26.01,48.99,5.74,234.12,18.27,108.58,0.716,-0.1801,0.2154,2.932,0.0412,0.0,30.92
cotton,1.866,871.98,27.37,47.99,7.25,310.21,11.3,225.24,0.7666,-0.1216,0.2962,2.11,0.1155,0.0741,22.93
maize,4.297,408.39,28.12,81.11,5.79,159.96,19.62,135.0,0.6352,-0.177,0.1889,5.712,0.1365,0.1431,41.4
wheat,5.16,1022.78,34.29,66.24,7.06,288.38,18.74,228.98,0.4947,-0.4282,0.0254,3.356,0.2263,0.239,74.99
cotton,6.116,384.33,27.36,56.19,7.54,311.33,35.8,181.39,0.7961,-0.1957,0.174,2.405,0.0456,0.0471,19.77
wheat,5.642,652.68,22.02,59.6,6.17,314.91,32.31,134.2,0.6627,0.0934,0.406,5.226,0.1011,0.2393,32.49
rice,8.451,743.44,27.33,79.45,6.18,192.17,11.34,250.58,0.7119,-0.1051,0.1953,5.758,0.2559,0.1402,44.62
rice,4.851,714.23,28.24,79.58,6.93,284.83,16.67,199.29,0.802,-0.3275,0.3466,5.754,0.1455,0.1531,27.42
soybean,9.026,787.53,29.01,68.2,5.86,307.28,25.23,275.07,0.7951,-0.0318,0.3511,3.646,0.162,0.3131,33.04
wheat,4.482,712.91,26.83,56.6,7.21,190.06,26.44,240.92,0.7432,-0.066,0.2032,5.108,0.1745,0.1597,34.09
wheat,4.295,616.01,31.84,81.69,7.26,178.74,30.1,188.04,0.7291,-0.1834,0.2177,4.577,0.2219,0.3027,54.5
soybean,1.291,937.55,35.68,56.07,7.37,286.38,34.01,227.89,0.7694,-0.215,0.3906,3.554,0.1908,0.2381,41.06
maize,1.2,224.42,26.86,89.08,6.38,265.17,23.84,162.32,0.6929,-0.2655,0.3412,5.681,0.3528,0.1726,43.19
cotton,9.781,438.01,38.11,52.38,7.29,262.65,5.38,260.02,0.5507,-0.6533,0.088,1.543,0.2727,0.2164,76.66
rice,6.812,763.72,21.2,59.59,5.93,311.3,39.08,125.95,0.729,0.0368,0.2819,5.871,0.0654,0.1601,26.36
maize,1.683,1014.32,30.1,72.73,5.56,336.47,21.82,172.4,0.6254,-0.0729,0.2389,5.505,0.4683,0.2315,57.77
rice,6.763,591.29,28.63,65.12,6.34,175.91,17.84,126.42,0.6328,-0.2007,0.2641,6.231,0.2501,0.1429,40.52
maize,7.191,1001.65,31.6,43.48,7.04,213.48,32.14,175.99,0.6781,-0.3083,0.1027,5.508,0.1184,0.2395,44.42
rice,2.383,426.2,32.24,66.21,6.42,291.43,29.4,137.68,0.8196,-0.1874,0.3203,4.673,0.3641,0.2752,57.87
maize,6.756,827.09,17.9,48.32,7.03,274.72,17.08,177.31,0.7153,0.1933,0.4038,6.199,0.0471,0.0759,21.93
chickpea,4.026,672.88,19.59,50.82,6.14,276.54,22.27,238.63,0.7596,0.1164,0.3762,3.246,0.0218,0.1291,20.1
maize,0.699,633.14,17.8,61.3,6.23,118.46,33.96,200.01,0.6517,0.1642,0.4281,6.349,0.0511,0.0047,24.5
soybean,1.345,647.67,24.15,40.05,6.16,121.92,29.77,230.18,0.7228,-0.0241,0.2148,4.01,0.0427,0.0,17.7
rice,4.499,639.74,20.47,63.82,7.48,357.67,33.3,233.71,0.8138,0.0619,0.3945,5.72,0.1535,0.1852,32.3
chickpea,1.561,716.03,28.69,73.04,7.32,226.63,21.8,173.08,0.5859,-0.1277,0.2629,3.282,0.2043,0.2321,51.23
cotton,9.485,932.32,25.29,69.7,7.84,203.19,7.5,184.16,0.7157,0.0258,0.2325,2.328,0.1144,0.1616,43.49
maize,4.751,656.26,38.06,58.42,7.57,218.46,32.91,144.1,0.7564,-0.357,0.1538,3.874,0.3081,0.3315,78.37
cotton,5.261,712.92,28.09,53.58,6.72,202.35,20.17,189.51,0.9272,0.0065,0.3574,2.67,0.1997,0.1189,31.4
rice,3.728,868.71,35.24,76.33,5.41,264.09,18.65,223.12,0.721,-0.4192,0.2661,4.556,0.286,0.2444,70.2
soybean,3.87,945.64,21.91,68.97,5.76,133.72,27.74,135.76,0.6932,-0.0356,0.3606,3.418,0.0812,0.2938,43.66
chickpea,5.311,330.04,27.23,36.04,5.63,246.65,29.14,147.71,0.5926,-0.1855,0.3032,2.944,0.1183,0.1249,40.48
rice,2.69,804.53,35.14,86.14,5.47,225.99,31.71,164.36,0.4787,-0.3783,0.0669,3.851,0.6174,0.6196,91.95
soybean,7.682,793.65,24.94,61.98,6.86,271.59,21.08,185.68,0.6828,-0.0986,0.4228,3.793,0.1449,0.1853,35.07
rice,0.689,662.18,28.68,83.84,6.12,254.27,21.06,240.34,0.6648,-0.0837,0.2873,6.069,0.2242,0.3223,52.51
wheat,7.499,521.12,26.47,69.72,6.42,150.51,17.33,217.58,0.6626,0.0152,0.2809,4.658,0.2935,0.2873,50.09
maize,2.245,685.27,33.81,60.55,6.2,182.86,29.95,281.39,0.5865,-0.3781,0.1647,4.81,0.5178,0.4327,83.49
rice,1.598,640.48,33.27,59.14,6.35,161.3,12.19,260.06,0.6895,-0.243,0.2429,5.049,0.1845,0.2224,52.61
wheat,5.123,759.24,36.83,72.37,7.13,165.52,30.22,307.78,0.7057,-0.3593,0.1169,3.471,0.3073,0.2237,59.79
soybean,6.376,501.15,18.89,74.63,6.3,214.93,15.91,159.87,0.8189,0.0755,0.4546,3.946,0.087,0.146,24.12
rice,1.378,775.27,24.25,54.16,5.53,248.25,29.78,174.06,0.7792,0.033,0.3649,5.824,0.0991,0.1801,27.0
chickpea,5.609,1144.96,26.24,82.01,6.6,177.95,19.58,199.75,0.721,-0.0517,0.3291,2.955,0.2406,0.018,28.31
soybean,7.475,627.78,23.91,78.14,5.03,236.21,22.22,168.84,0.638,0.1611,0.3686,3.619,0.3298,0.0937,51.95
soybean,6.445,927.98,25.07,73.54,5.35,87.33,11.23,82.87,0.7691,-0.1262,0.2548,3.863,0.1951,0.0367,48.4
maize,9.785,707.55,28.79,50.4,7.67,335.88,33.56,125.27,0.5938,-0.2679,0.1301,6.397,0.0777,0.0637,43.83
cotton,2.138,767.84,26.88,67.95,6.18,209.24,23.93,187.34,0.5557,-0.2014,0.245,2.369,0.246,0.1211,49.4
rice,7.474,707.77,24.5,42.43,6.98,337.19,11.33,198.72,0.8055,-0.0952,0.2873,5.921,0.0599,0.1365,23.15
cotton,8.267,438.5,21.32,54.62,6.48,192.45,25.34,203.24,0.6868,-0.0288,0.4631,2.314,0.0629,0.0619,21.4
chickpea,9.796,150.0,26.21,68.28,5.79,239.76,30.78,194.24,0.6692,-0.2302,0.2064,2.687,0.09,0.1668,33.36
cotton,4.635,835.92,33.39,54.48,5.2,270.32,22.45,105.72,0.6867,-0.3025,0.2755,2.187,0.171,0.1332,77.01
soybean,4.773,466.76,26.84,56.45,7.09,194.61,21.84,186.51,0.6112,-0.1585,0.0207,3.594,0.0867,0.0969,33.5
cotton,1.56,1151.72,31.91,60.26,6.46,229.96,24.56,109.44,0.6762,-0.0231,0.3904,2.223,0.368,0.1548,58.8
rice,6.798,699.52,31.02,67.07,7.05,143.62,19.73,233.52,0.7031,-0.1455,0.1143,5.695,0.2323,0.1103,36.88
chickpea,8.014,807.03,32.01,58.63,6.83,324.57,14.73,229.38,0.5677,-0.3419,0.0875,2.849,0.2305,0.1819,53.38
cotton,0.57,865.31,27.62,79.72,6.25,279.75,16.01,64.9,0.7609,-0.2264,0.2775,2.933,0.0952,0.0951,25.77
cotton,2.947,603.47,32.21,64.25,6.44,149.98,39.17,250.2,0.8444,-0.2454,0.1515,2.409,0.1303,0.1305,26.71
cotton,2.529,226.49,26.47,75.82,7.26,295.66,13.01,151.89,0.682,-0.128,0.2577,2.171,0.2534,0.0482,36.77
cotton,1.1,562.53,30.07,71.54,6.92,197.86,18.37,180.35,0.6828,-0.1322,0.1457,2.586,0.2,0.1338,30.82
chickpea,8.316,586.97,28.23,62.54,6.8,299.45,27.59,275.04,0.8353,-0.092,0.0266,2.804,0.1193,0.2797,22.85
wheat,2.127,663.15,28.63,77.12,6.3,242.02,15.14,229.13,0.5772,-0.3048,0.0807,5.274,0.3014,0.2532,50.35
chickpea,4.339,1042.89,27.3,51.46,6.03,215.95,18.95,132.29,0.8685,0.1478,0.3592,2.735,0.1631,0.0335,26.74
soybean,3.366,460.96,23.99,56.97,7.48,161.49,16.62,218.54,0.7447,-0.0617,0.3872,3.967,0.0863,0.1767,29.39
cotton,6.03,421.66,30.24,40.64,6.03,250.59,15.36,129.97,0.6437,-0.3001,0.2009,2.402,0.0499,0.2571,52.24
chickpea,6.343,202.6,24.6,86.86,6.72,219.53,31.39,296.66,0.5626,-0.0442,0.2287,3.022,0.2133,0.0906,37.93
soybean,2.877,624.8,30.81,80.7,6.91,259.7,14.49,220.76,0.8169,-0.2973,0.1734,3.52,0.1301,0.1971,27.49
wheat,1.235,750.55,24.47,69.26,6.27,280.29,24.4,233.85,0.7,-0.048,0.3175,5.254,0.16,0.0086,34.75
cotton,2.586,816.25,24.01,49.43,7.88,190.98,23.46,111.32,0.7798,-0.0059,0.3198,2.373,0.1585,0.1056,44.2
rice,9.311,1006.06,30.44,67.72,5.6,268.53,23.01,105.7,0.7302,-0.1598,0.2898,4.973,0.1025,0.2305,53.8
maize,7.005,1025.49,38.66,74.77,6.32,233.27,42.01,186.06,0.6004,-0.3914,0.0159,2.724,0.3539,0.5378,81.94
cotton,1.991,817.82,26.6,49.24,6.75,319.5,25.84,228.51,0.7521,-0.0937,0.2555,2.743,0.1407,0.0901,21.83
wheat,3.918,747.36,27.52,80.74,6.32,187.93,25.85,177.22,0.6569,-0.0287,0.2528,5.214,0.2917,0.1398,34.11
maize,1.783,949.32,25.91,49.69,6.08,203.34,35.08,148.22,0.7385,-0.0231,0.3833,6.404,0.1723,0.1955,28.72
chickpea,4.21,798.05,26.26,56.54,7.03,300.15,29.11,111.21,0.7032,0.0936,0.4966,2.931,0.1331,0.3075,29.56
wheat,2.445,678.04,29.11,82.45,6.4,127.89,35.16,214.12,0.5832,-0.2591,0.1237,4.777,0.0957,0.0594,29.16
wheat,3.248,481.54,31.05,61.95,6.92,98.18,40.57,220.66,0.8087,-0.2206,0.2027,4.735,0.1529,0.1066,25.89
cotton,2.419,834.86,28.56,71.05,7.11,271.68,22.13,228.03,0.5668,-0.1383,0.1602,2.337,0.3516,0.2368,52.25
chickpea,6.866,150.0,33.93,81.91,6.36,287.9,33.88,201.37,0.7752,-0.3238,0.1451,1.681,0.4445,0.4778,73.19
rice,8.551,381.25,29.95,53.08,5.68,264.49,28.66,218.23,0.7333,-0.2852,0.2878,5.824,0.2313,0.224,39.01
cotton,3.162,262.56,26.4,79.95,6.79,347.3,13.38,154.83,0.6234,0.1225,0.4372,2.325,0.3285,0.292,48.8
chickpea,6.072,588.02,29.72,68.16,6.94,247.08,28.57,138.49,0.6052,-0.1656,0.1395,2.847,0.1941,0.1547,32.71
soybean,6.584,572.09,26.63,83.35,7.4,197.29,25.85,126.64,0.6409,-0.129,0.3262,3.721,0.1733,0.1125,54.02
soybean,6.798,859.51,34.37,35.33,6.18,304.67,23.43,179.56,0.6054,-0.2893,0.1221,2.624,0.1298,0.1818,64.61
soybean,4.379,790.02,34.08,82.32,6.62,115.61,8.02,260.39,0.6786,-0.2846,0.2165,2.377,0.2051,0.2565,70.81
wheat,7.108,617.16,28.8,74.22,5.53,198.43,16.71,159.79,0.7687,-0.1147,0.2201,5.398,0.262,0.0867,45.75
rice,4.869,642.23,24.49,60.06,7.41,303.99,16.7,260.75,0.8009,0.0348,0.4641,6.257,0.1641,0.1592,26.3
cotton,3.815,294.88,26.09,77.67,5.39,181.29,5.0,131.43,0.5927,0.0159,0.4456,2.745,0.3437,0.1881,71.18
soybean,0.903,1005.34,20.18,81.51,7.94,342.52,21.59,213.57,0.852,0.0485,0.3394,3.831,0.165,0.1611,31.87
cotton,3.265,730.32,27.04,69.79,7.21,201.87,13.07,220.23,0.7103,-0.1327,0.1945,2.547,0.114,0.2538,29.33
rice,8.551,699.66,23.47,71.42,6.75,256.28,24.43,125.66,0.7593,0.0278,0.3328,6.185,0.0566,0.179,18.29
wheat,1.601,559.29,24.98,87.47,5.99,411.6,30.45,258.67,0.6696,-0.0697,0.1215,5.128,0.3359,0.1272,34.4
rice,3.429,1029.64,22.88,58.65,6.79,71.55,26.6,245.59,0.764,-0.1579,0.251,5.569,0.0869,0.2274,15.5
cotton,0.549,668.49,31.21,56.34,5.49,239.57,22.11,161.88,0.6538,-0.3799,0.2478,2.673,0.2868,0.2177,73.08
wheat,6.39,678.38,31.19,98.0,5.91,324.65,40.34,197.09,0.8557,-0.1099,0.1747,4.851,0.5059,0.4558,65.13
rice,6.301,770.97,22.91,53.24,6.35,288.47,17.73,74.99,0.767,-0.0186,0.2262,5.713,0.0426,0.2091,20.63
wheat,6.865,632.96,23.35,38.64,6.28,373.5,23.77,247.51,0.7105,-0.0844,0.161,5.176,0.0273,0.198,29.12
rice,4.317,337.88,28.25,46.24,5.76,305.46,20.65,236.35,0.7123,-0.2128,0.0903,5.478,0.0969,0.1493,41.43
soybean,4.115,449.84,16.54,54.8,6.4,133.04,28.74,126.38,0.7126,0.1552,0.3361,3.427,0.0215,0.1376,28.94
cotton,3.04,437.82,25.43,56.35,7.48,201.55,9.52,175.0,0.5311,-0.1896,0.2186,2.64,0.0808,0.1742,54.02
chickpea,4.135,601.77,25.46,64.55,7.52,184.23,6.23,177.9,0.6405,-0.0859,0.2717,2.683,0.1799,0.1392,48.72
wheat,7.6,291.42,29.57,72.08,5.53,220.47,46.09,145.98,0.6188,-0.2557,0.2757,4.251,0.1592,0.1324,49.45
wheat,0.672,376.19,31.3,66.11,6.77,280.02,18.81,193.57,0.7872,-0.2418,0.2349,5.167,0.2396,0.2027,24.82
wheat,4.257,597.39,28.06,57.57,5.71,194.89,23.57,286.13,0.7423,0.0437,0.3468,5.326,0.0738,0.3344,40.65
maize,9.651,459.1,39.34,52.0,6.31,176.62,11.19,154.93,0.5156,-0.3586,0.2316,3.774,0.3295,0.3761,88.41
maize,8.742,636.0,33.6,82.08,6.89,143.95,20.87,252.96,0.7817,-0.3205,0.2064,5.623,0.1579,0.3391,39.72
chickpea,7.683,863.24,28.72,98.0,6.84,212.26,30.46,194.48,0.5954,-0.1688,0.3534,2.782,0.3634,0.1238,38.5
chickpea,1.651,668.8,24.59,59.13,6.15,158.72,25.96,202.15,0.6635,-0.045,0.2479,2.858,0.1141,0.0528,35.18
rice,9.106,1036.82,30.92,42.21,7.61,126.93,38.97,197.77,0.4689,-0.1589,0.1882,4.739,0.1784,0.3095,70.52
chickpea,8.67,734.85,30.52,74.19,7.4,194.0,26.32,181.36,0.7451,-0.2755,0.1221,2.831,0.2176,0.1069,35.34
maize,3.351,499.89,21.49,84.84,5.88,255.34,29.18,151.95,0.6554,0.0425,0.3537,6.41,0.1872,0.2708,35.82
soybean,2.011,869.23,28.11,71.54,6.76,269.39,17.41,129.0,0.6046,-0.2496,0.2937,4.082,0.3042,0.0408,40.03
soybean,7.849,719.77,26.19,66.02,5.85,175.33,38.42,171.12,0.7246,-0.126,0.2461,3.566,0.1864,0.0691,36.28
cotton,4.66,552.92,25.81,52.6,6.86,211.61,22.8,276.29,0.7989,-0.1689,0.3258,2.742,0.0431,0.1013,19.41
maize,3.291,934.77,27.52,98.0,6.63,135.21,20.6,177.79,0.6962,-0.1951,0.2786,5.425,0.2882,0.2451,39.45
rice,1.993,373.55,27.78,82.49,5.98,317.06,26.13,149.73,0.7014,-0.2075,0.3866,5.726,0.2274,0.0754,31.83
cotton,3.144,797.13,31.67,52.29,6.39,175.22,31.15,145.59,0.7322,-0.3691,0.1367,2.188,0.1646,0.1732,44.69
chickpea,1.795,771.51,18.59,65.42,6.19,324.75,24.0,106.13,0.6911,0.1758,0.3674,2.968,0.0455,0.07,26.37
soybean,9.419,150.0,30.2,72.57,6.95,347.23,45.39,60.27,0.8366,-0.2166,0.1075,3.152,0.1797,0.0537,22.98
soybean,5.501,970.25,27.28,48.97,6.8,199.24,19.74,67.09,0.7329,-0.0316,0.1923,3.556,0.1559,0.1316,35.26
wheat,6.187,772.57,23.09,50.86,5.97,320.72,23.28,119.31,0.7549,-0.1157,0.1666,5.379,0.0334,0.0561,25.23
maize,1.48,504.14,25.94,56.85,6.13,268.26,13.04,88.7,0.5997,-0.1207,0.2169,6.124,0.1226,0.0449,37.14
wheat,9.502,506.73,34.1,65.25,6.02,280.86,19.92,144.71,0.5985,-0.3295,0.1509,4.057,0.3295,0.3244,68.65
rice,0.863,748.69,29.53,55.13,5.21,342.8,26.72,107.04,0.7536,-0.1814,0.272,5.633,0.1055,0.1865,50.43
wheat,5.803,630.56,29.08,60.69,6.6,251.61,24.68,149.86,0.645,-0.0391,0.201,5.188,0.0858,0.2202,31.07
rice,1.354,692.87,16.99,60.5,6.81,352.29,42.16,191.97,0.7753,0.1162,0.2465,6.274,0.0244,0.1886,17.97
maize,6.244,726.17,25.86,53.89,6.34,312.42,36.86,214.59,0.6259,0.0098,0.2314,6.063,0.1553,0.2428,31.04
wheat,1.667,1142.66,15.0,65.97,7.79,172.92,24.97,246.22,0.6574,0.2639,0.4406,4.314,0.0675,0.1141,36.98
wheat,8.58,605.1,27.26,69.18,7.06,226.58,20.77,191.07,0.6911,-0.1705,0.1882,5.192,0.1545,0.2143,38.85
chickpea,4.152,730.2,25.98,69.82,6.66,248.48,22.82,119.4,0.6229,-0.2028,0.2387,3.208,0.1726,0.0656,27.25
wheat,0.84,1010.07,22.01,95.85,6.69,240.85,24.4,168.45,0.8211,-0.0544,0.2856,5.157,0.2268,0.1618,20.96
rice,5.012,641.44,34.63,65.91,7.16,304.03,25.53,149.46,0.6451,-0.4045,0.1302,4.483,0.1624,0.1583,62.5
maize,3.793,538.38,27.09,61.89,7.37,175.59,18.49,163.06,0.6126,-0.0319,0.399,6.479,0.2291,0.1462,45.97
maize,8.167,633.06,25.61,55.19,6.66,157.93,24.8,259.72,0.7515,-0.2176,0.2701,6.362,0.0367,0.2546,14.68
maize,6.131,218.95,29.12,73.4,6.19,198.61,15.1,286.4,0.7369,-0.1747,0.3141,6.149,0.3747,0.2055,42.4
wheat,3.22,773.15,22.24,56.22,5.83,282.29,28.31,209.51,0.8274,0.2155,0.6229,5.172,0.117,0.2143,36.08
chickpea,5.338,430.94,28.41,52.36,6.15,223.07,23.27,95.02,0.6529,-0.1457,0.2491,2.546,0.1213,0.1824,38.43
chickpea,6.421,645.51,34.18,61.06,5.55,193.5,28.1,267.07,0.5826,-0.1843,0.0787,2.195,0.3169,0.3633,87.28
soybean,4.126,636.15,25.51,69.55,7.97,125.12,33.35,146.51,0.7115,0.0247,0.3948,3.523,0.3356,0.3158,50.13
chickpea,6.246,656.25,24.71,83.73,6.75,245.7,11.62,209.59,0.714,0.0343,0.3414,3.292,0.1275,0.078,20.52
soybean,9.088,495.74,26.31,74.54,6.51,323.03,22.86,168.84,0.6406,-0.2148,0.2507,3.683,0.3747,0.0862,34.22
wheat,3.385,526.97,28.18,44.29,6.98,256.91,38.02,173.52,0.6928,-0.1737,0.1995,5.813,0.1181,0.1891,21.62
soybean,0.527,817.6,28.14,80.28,6.67,224.98,21.3,267.42,0.7137,-0.0405,0.1668,3.426,0.265,0.1958,42.25
wheat,8.422,804.29,29.61,69.23,6.91,284.57,33.24,160.88,0.763,-0.26,0.1216,4.971,0.3445,0.2714,40.55
soybean,5.305,550.05,29.26,48.11,6.78,260.54,13.08,180.7,0.7412,-0.256,0.1432,3.351,0.0595,0.2233,31.19
wheat,8.955,1031.02,22.53,84.81,5.71,341.34,25.19,164.27,0.8029,0.0329,0.3746,4.758,0.0983,0.0385,21.97
cotton,2.171,879.4,29.58,72.8,6.75,325.9,28.52,216.45,0.8535,-0.158,0.2549,2.277,0.1313,0.3149,36.92
cotton,9.263,604.61,25.01,69.19,8.2,156.88,25.15,207.08,0.5667,0.0659,0.3434,2.673,0.1126,0.0677,51.16
rice,8.001,599.92,26.38,77.92,7.1,289.61,17.8,178.09,0.731,-0.2598,0.3119,5.878,0.2112,0.0356,23.74
soybean,7.622,409.71,27.49,46.92,6.99,328.86,24.2,191.52,0.7613,-0.0008,0.3106,3.904,0.0676,0.0759,21.9
cotton,1.33,553.6,27.52,60.68,6.44,250.83,28.11,196.82,0.6765,-0.1594,0.0476,2.91,0.1837,0.1426,38.06
maize,5.979,829.81,20.92,85.1,6.72,227.04,28.87,201.17,0.6476,0.2309,0.2716,6.56,0.1688,0.2611,33.31
maize,5.434,757.08,27.34,57.13,5.82,257.99,18.86,163.53,0.6222,-0.1956,0.2781,6.105,0.1538,0.1329,42.87
maize,8.144,784.4,24.17,52.94,6.26,174.03,24.69,94.39,0.5995,-0.2137,0.2743,6.067,0.0799,0.1171,37.94
wheat,6.846,879.72,32.71,77.62,7.06,327.82,26.33,138.02,0.5948,-0.3335,0.1652,4.271,0.3351,0.0702,45.55
cotton,9.832,520.47,23.24,72.89,5.17,258.16,21.23,204.7,0.7125,0.1362,0.4166,2.346,0.1669,0.0711,45.95
cotton,6.12,523.91,23.96,57.19,5.81,260.7,22.77,273.82,0.8236,0.0251,0.3157,2.226,0.0384,0.1077,24.73
chickpea,7.771,500.48,30.37,72.17,8.01,166.47,7.18,190.74,0.7077,-0.2604,0.1962,2.479,0.1879,0.2461,74.17
wheat,2.886,725.09,17.38,75.69,6.09,270.84,20.98,200.25,0.8766,0.0843,0.3304,4.771,0.07,0.1322,19.82
maize,1.862,782.34,27.81,59.32,5.25,166.92,23.78,182.42,0.6526,-0.1741,0.2136,6.496,0.0994,0.1374,47.48
maize,5.447,710.92,29.5,55.34,6.93,255.25,17.65,132.22,0.6621,-0.1262,0.2525,6.528,0.1311,0.2216,36.3
cotton,8.042,867.54,30.65,73.91,7.31,300.41,33.97,209.45,0.8325,-0.1545,0.2726,2.565,0.2428,0.1798,36.09
cotton,1.018,484.22,35.33,55.47,7.5,300.65,21.24,220.31,0.669,-0.3273,0.1497,1.238,0.1211,0.2473,60.67
maize,0.588,896.03,28.49,51.25,5.82,200.29,23.42,195.69,0.7049,-0.1703,0.1734,6.743,0.2102,0.1933,31.33
maize,8.286,915.59,32.59,61.15,7.23,350.18,30.45,151.45,0.6422,-0.1897,0.0531,5.371,0.1535,0.2415,49.48
maize,5.594,617.64,29.15,62.26,5.4,350.11,18.97,161.82,0.6542,-0.0826,0.1568,6.286,0.0795,0.1329,39.49
chickpea,4.07,642.12,35.69,57.85,5.95,207.03,23.24,178.78,0.5733,-0.4236,0.2785,2.268,0.1354,0.3617,73.62
rice,0.897,823.58,21.7,80.45,7.14,346.39,37.19,174.25,0.8073,0.0907,0.3182,6.469,0.0726,0.0,23.43
maize,0.906,501.1,31.55,78.58,6.47,329.06,19.28,216.72,0.9158,-0.2365,0.1496,5.976,0.0945,0.1304,21.77
cotton,4.202,711.76,21.21,56.99,6.84,391.59,15.68,235.81,0.7689,0.1032,0.379,2.614,0.0524,0.1448,14.6
soybean,1.024,685.44,30.79,48.32,6.73,264.47,29.91,92.63,0.6823,-0.0977,0.205,3.467,0.112,0.2126,35.03
chickpea,9.052,600.15,34.09,57.56,6.13,107.12,20.91,205.67,0.6607,-0.3084,0.2258,2.409,0.219,0.1456,64.2
soybean,0.525,548.89,22.68,62.25,6.39,189.63,20.29,259.3,0.8614,0.1563,0.4252,4.261,0.0888,0.0885,17.5
rice,4.213,563.48,26.59,68.83,5.89,175.03,31.1,175.86,0.6109,0.067,0.4066,6.003,0.368,0.148,47.9
wheat,5.39,684.85,24.02,64.03,6.1,240.86,27.75,194.14,0.6186,-0.0486,0.4152,4.946,0.1031,0.2272,41.52
maize,0.804,368.99,26.49,67.94,7.57,239.24,24.4,152.54,0.911,-0.1065,0.37,5.937,0.0941,0.1549,30.54
soybean,1.009,382.43,25.02,56.16,7.01,165.31,21.63,161.9,0.8879,-0.0886,0.4096,3.595,0.1292,0.1672,25.48
rice,3.049,578.37,27.64,60.59,7.53,343.3,16.29,147.7,0.6157,-0.1653,0.1907,6.063,0.1405,0.1803,45.12
maize,9.552,641.38,24.51,63.62,6.9,198.93,23.34,192.28,0.5401,0.0445,0.2989,6.277,0.1084,0.0982,34.66
cotton,4.539,944.52,28.8,67.9,6.54,181.39,26.07,234.55,0.8653,-0.0389,0.2747,2.613,0.1164,0.0945,22.38
maize,4.925,495.66,30.34,56.74,6.72,321.47,37.01,275.46,0.6829,-0.2589,0.2622,6.451,0.0828,0.1207,22.85
chickpea,4.389,1028.23,23.56,75.54,6.79,302.19,17.55,125.02,0.8036,0.1009,0.353,2.821,0.1797,0.0852,20.95
rice,0.699,439.36,23.48,80.41,6.64,179.12,24.77,168.48,0.5799,-0.006,0.294,5.836,0.2538,0.0685,33.9
cotton,8.087,386.25,30.32,93.47,4.97,237.09,23.62,200.3,0.6943,-0.2572,0.1378,1.987,0.3784,0.2592,63.47
rice,4.282,367.38,30.4,63.58,5.93,354.01,27.74,62.9,0.643,-0.1124,0.245,5.25,0.2096,0.2467,49.42
cotton,5.365,858.65,32.25,41.45,7.43,267.43,25.91,244.73,0.6147,-0.3466,0.2583,2.809,0.0595,0.0172,30.83
chickpea,4.668,694.62,28.81,80.47,6.84,277.55,21.22,250.57,0.7015,-0.0204,0.3514,3.056,0.3423,0.1999,35.84
wheat,3.382,548.48,27.63,39.02,8.2,316.27,28.55,273.34,0.674,-0.1402,0.2263,5.248,0.0823,0.0468,45.32
chickpea,3.839,492.95,32.31,85.72,6.33,292.73,20.36,142.6,0.7582,-0.3987,0.2595,2.933,0.4665,0.2523,44.77
wheat,5.287,805.36,19.99,54.6,7.41,255.2,21.49,267.61,0.8441,0.152,0.4152,5.014,0.0311,0.0948,20.32
cotton,5.683,854.58,29.25,65.17,6.34,246.88,28.9,227.25,0.5978,-0.228,0.1676,2.773,0.177,0.1765,52.54
chickpea,9.241,876.31,31.53,75.21,5.36,226.5,9.71,324.23,0.8181,-0.3096,0.2141,2.706,0.186,0.3845,55.16
rice,1.042,252.36,36.13,77.56,7.57,241.22,19.5,350.0,0.5238,-0.3701,0.2295,3.139,0.422,0.3177,88.16
rice,9.181,641.96,31.95,53.58,7.48,168.51,19.25,191.04,0.752,-0.1851,0.2269,4.967,0.1705,0.286,61.66
wheat,3.965,489.6,29.37,62.72,7.07,76.4,11.25,291.62,0.5971,-0.1703,0.0599,4.535,0.141,0.2748,51.56
wheat,2.854,836.83,26.16,75.49,7.87,141.38,15.75,91.68,0.6594,-0.097,0.3664,5.024,0.2179,0.1203,53.5
chickpea,4.452,747.49,26.59,58.65,6.37,306.25,46.99,228.82,0.5783,-0.1188,0.2915,2.96,0.111,0.2277,35.2
