crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield_prediction,risk_score
wheat,5.557,276.16,23.21,196.49,28.6,33.11,19.4,94.77,9.06,7.41,217.89,27.93,195.74,1.179,0.7474,0.4686,0.8842,0.1099,-0.1623,-0.3295,-0.0531,0.2035,0.0298,0.311,2,6.02,0.0,0.0,0.1736,0.0,4.769,32.46
soybean,7.126,627.48,27.43,524.23,30.1,37.36,20.58,74.89,15.44,7.92,220.51,24.2,93.67,0.778,0.5829,0.4402,0.6666,0.0968,-0.2309,-0.4047,-0.1358,0.2176,0.0893,0.2895,4,15.41,2.36,0.0,0.2731,0.2025,1.502,67.11
rice,8.273,649.05,23.25,570.38,28.02,38.44,18.62,79.22,13.63,8.2,301.97,35.34,194.49,0.973,0.5574,0.3898,0.7262,0.1015,-0.0784,-0.2751,0.016,0.1643,0.0172,0.2608,2,1.11,3.44,0.0,0.2362,0.1387,3.162,70.65
maize,9.519,1104.57,22.98,833.52,24.25,33.0,15.61,40.5,14.73,7.21,195.23,19.34,190.72,0.715,0.9083,0.7206,1.0,0.079,0.003,-0.0559,0.1675,0.4047,0.3345,0.4842,4,4.98,0.0,0.0,0.0173,0.0,4.231,22.03
soybean,7.55,505.02,54.57,429.12,21.98,27.99,17.67,66.24,1.68,6.58,207.83,22.76,195.16,0.739,0.647,0.42,0.7463,0.0808,0.1097,0.0591,0.2651,0.3147,0.1391,0.398,5,0.86,0.0,0.0,0.1514,0.0,1.34,23.87
rice,3.81,703.61,112.9,708.77,21.62,27.87,17.36,63.32,19.73,6.39,196.38,27.27,213.07,0.846,0.7253,0.6152,0.8258,0.0767,0.2902,0.1528,0.3499,0.4367,0.2651,0.6054,5,9.19,0.0,2.29,0.2275,0.276,3.192,38.7
soybean,9.515,1238.24,7.09,877.34,24.06,30.15,16.55,64.48,23.04,6.61,225.58,14.86,131.44,1.181,0.7182,0.609,0.8058,0.0703,-0.0939,-0.2709,0.0211,0.2274,0.1696,0.3538,1,-6.73,0.0,0.0,0.0797,0.0373,1.296,28.47
wheat,5.097,687.6,7.98,812.07,29.45,37.86,21.98,60.39,14.87,6.29,304.26,31.63,122.01,0.202,0.7344,0.576,0.8684,0.1238,-0.2494,-0.356,-0.1208,0.1748,0.116,0.234,5,17.23,2.86,0.0,0.0632,0.136,4.138,35.78
cotton,5.249,528.48,17.08,513.4,29.06,35.56,25.47,81.8,10.45,5.66,260.06,13.62,125.07,0.549,0.6694,0.4412,0.7953,0.0865,-0.2285,-0.3067,-0.1172,0.1963,0.0215,0.2491,5,7.2,0.56,0.0,0.094,0.0385,0.962,33.26
wheat,8.26,697.49,28.99,660.32,26.98,34.84,21.98,86.74,13.27,5.47,238.62,5.0,103.09,0.292,0.7433,0.4788,0.832,0.0942,-0.0747,-0.2589,0.061,0.3478,0.2875,0.4686,3,6.15,0.0,0.0,0.116,0.0839,4.793,41.93
soybean,6.925,301.61,109.71,222.95,26.48,35.17,18.82,43.95,12.03,8.19,277.34,21.44,146.07,0.833,0.6062,0.4801,0.7469,0.0814,0.0817,-0.1127,0.1608,0.3647,0.2612,0.5139,4,-2.07,0.17,1.971,0.147,0.2394,1.628,60.05
wheat,1.723,509.56,16.28,511.58,15.86,22.21,8.15,67.4,15.4,6.91,325.27,30.48,258.13,0.976,0.95,0.7478,1.0,0.0849,0.197,0.1248,0.3388,0.3931,0.222,0.5383,1,4.0,0.0,0.0,0.0482,0.1752,4.905,17.28
cotton,2.058,524.12,47.85,418.75,26.19,33.13,17.45,55.0,19.63,7.28,342.97,23.56,210.72,1.25,0.9133,0.698,1.0,0.0719,0.0086,-0.1305,0.152,0.3495,0.2106,0.4525,3,2.42,0.0,0.0,0.0589,0.2043,0.915,20.46
chickpea,9.543,434.66,26.42,408.09,27.81,35.87,18.72,56.34,7.72,5.49,112.82,21.31,287.28,1.056,0.7021,0.5576,0.8902,0.0583,-0.2207,-0.3005,-0.0573,0.2618,0.1227,0.4206,5,4.84,0.87,0.0,0.061,0.0632,1.362,34.71
wheat,1.98,730.29,71.09,600.73,33.87,39.63,25.27,84.18,8.28,7.44,242.01,26.19,104.19,0.806,0.683,0.432,0.7837,0.0969,-0.1849,-0.2693,-0.0633,0.3696,0.2987,0.5057,5,10.03,4.63,0.0,0.6582,0.31,3.937,77.28
soybean,3.17,454.19,45.94,395.58,23.42,27.87,16.51,84.15,11.77,6.01,244.05,28.97,181.01,0.501,0.7075,0.5891,0.8513,0.0845,0.1259,-0.0119,0.2218,0.3496,0.2157,0.4907,3,5.37,0.0,0.0,0.2932,0.2473,1.571,42.94
wheat,8.914,680.42,27.27,849.21,24.85,29.67,18.43,63.1,9.86,7.36,391.69,10.7,100.13,0.859,0.7668,0.5896,0.8852,0.0919,-0.0204,-0.1537,0.1015,0.3638,0.1929,0.4244,1,3.64,0.0,0.0,0.1302,0.2054,4.521,35.12
maize,4.453,771.8,15.53,843.26,28.8,31.23,20.16,58.91,17.27,6.61,178.36,19.8,50.5,1.052,0.6373,0.4313,0.7533,0.1514,-0.0419,-0.2197,0.0632,0.1954,0.0779,0.2732,2,5.14,0.0,0.0,0.1827,0.1228,4.385,39.52
rice,3.422,1211.1,28.4,1187.74,26.71,36.79,20.22,53.31,22.16,6.99,256.21,9.7,167.26,0.524,0.6599,0.4222,0.8486,0.158,-0.1155,-0.2891,-0.0217,0.2966,0.2211,0.4492,4,0.61,1.79,0.0,0.1531,0.0344,2.732,35.73
maize,3.139,821.5,55.75,573.46,24.37,35.64,16.39,71.85,4.89,6.99,201.19,19.72,168.31,0.746,0.717,0.4229,0.8088,0.1023,0.0103,-0.0651,0.1747,0.3012,0.2042,0.4651,5,-3.99,0.64,0.0,0.1249,0.1469,4.29,28.71
chickpea,1.818,757.89,11.3,762.47,32.37,39.35,25.73,81.19,17.85,6.99,252.26,23.53,246.31,0.353,0.6236,0.4548,0.7663,0.0755,-0.214,-0.3781,-0.0633,0.152,0.0983,0.289,2,7.47,4.35,0.0,0.1986,0.1401,0.951,43.64
rice,0.646,267.31,102.82,262.33,21.48,31.03,13.22,72.05,7.93,6.3,195.27,28.21,168.88,0.517,0.7625,0.5314,0.8985,0.1717,0.2021,0.035,0.3347,0.5954,0.5207,0.6712,3,1.39,0.0,1.282,0.1559,0.165,3.088,31.08
cotton,8.706,614.91,62.3,561.7,30.72,36.7,28.34,33.93,10.45,7.67,282.06,16.52,113.34,0.851,0.7228,0.4514,0.9112,0.0929,-0.2495,-0.4295,-0.0581,0.2007,0.028,0.3471,4,10.71,1.7,0.0,0.1738,0.3356,0.816,53.87
wheat,4.598,800.41,9.37,850.19,23.13,32.39,18.85,63.22,1.0,6.65,134.7,30.74,196.12,0.976,0.78,0.6447,0.8905,0.0553,-0.2123,-0.3981,-0.1495,0.4348,0.2747,0.5833,3,-2.4,0.0,0.0,0.0355,0.1899,4.439,16.17
rice,1.813,313.36,18.11,260.3,25.12,33.78,19.91,36.59,24.22,6.63,331.97,37.84,301.71,0.573,0.8093,0.5668,0.9251,0.0611,-0.222,-0.3786,-0.1138,0.2233,0.0998,0.3986,5,6.48,0.0,0.0,0.0349,0.1353,2.995,12.14
maize,6.046,615.52,16.4,441.55,21.99,28.16,15.14,75.45,4.26,6.66,193.45,29.41,139.37,0.702,0.7662,0.6539,0.9196,0.09,-0.1074,-0.2502,-0.0536,0.2688,0.1622,0.444,4,8.39,0.0,0.0,0.0991,0.0318,4.722,18.51
chickpea,3.129,869.98,5.46,759.0,24.21,29.87,18.61,57.0,16.03,6.57,211.43,33.55,123.28,0.498,0.816,0.6533,0.9331,0.1108,-0.019,-0.1367,0.1064,0.3273,0.2066,0.4112,2,4.55,0.0,0.0,0.1204,0.0744,1.3,19.49
wheat,1.345,409.16,44.1,297.41,26.06,31.32,16.57,53.29,6.08,6.93,315.05,30.43,164.81,1.297,0.7362,0.468,0.8838,0.0575,-0.1608,-0.2522,-0.0565,0.2314,0.0575,0.3511,2,4.73,0.0,0.0,0.0437,0.1781,4.809,22.69
rice,3.368,272.53,28.28,296.66,29.9,38.69,24.02,68.34,8.26,8.2,206.25,30.49,163.12,0.458,0.4637,0.332,0.5784,0.0864,-0.0985,-0.1822,0.0145,0.2215,0.1035,0.3971,3,8.31,3.69,0.0,0.1773,0.1361,2.577,81.79
maize,8.954,571.37,5.62,383.0,29.4,37.2,19.49,81.48,17.33,6.09,265.14,33.23,161.98,0.617,0.6105,0.424,0.7579,0.0844,-0.2388,-0.3341,-0.0445,0.2923,0.2219,0.4507,2,5.98,2.2,0.0,0.4027,0.2278,4.124,59.76
maize,7.381,671.4,29.87,615.7,29.04,37.2,22.6,67.62,12.21,6.21,217.46,37.16,241.19,0.689,0.6876,0.4047,0.8404,0.1002,-0.2398,-0.3515,-0.0802,0.1956,0.134,0.3537,1,-2.44,2.2,0.0,0.124,0.0814,4.232,29.37
cotton,4.156,921.74,54.37,661.82,19.23,27.24,12.61,58.52,20.36,6.05,191.22,8.81,232.47,0.83,0.7666,0.6477,0.8991,0.0605,0.0081,-0.1533,0.1312,0.4205,0.3166,0.5682,5,2.42,0.0,0.0,0.0861,0.1542,0.926,31.55
wheat,9.25,670.38,32.6,701.63,28.57,38.54,23.77,43.44,9.71,6.32,251.12,37.61,185.61,0.796,0.6746,0.4702,0.81,0.1252,-0.1759,-0.3644,-0.021,0.1346,0.0037,0.2975,5,2.09,3.54,0.0,0.1285,0.2898,4.867,43.1
chickpea,8.645,197.47,38.41,204.24,25.17,32.94,18.72,54.23,12.36,6.48,241.11,32.82,240.95,0.469,0.8604,0.699,1.0,0.0581,-0.0213,-0.156,0.1105,0.2779,0.2183,0.3464,5,-1.21,0.0,0.0,0.1425,0.1061,1.06,17.18
maize,2.331,350.09,17.64,428.67,24.76,32.14,15.44,40.34,12.66,6.32,286.98,25.98,178.92,1.144,0.8825,0.7389,0.9878,0.097,-0.0823,-0.2431,0.0063,0.2476,0.0847,0.3513,4,8.28,0.0,0.0,0.0224,0.0633,4.097,16.65
cotton,2.332,1132.03,30.44,785.31,28.01,29.75,20.86,72.86,8.52,7.78,191.5,7.61,119.85,0.803,0.6742,0.3832,0.767,0.0404,-0.1446,-0.236,0.006,0.2878,0.1943,0.4028,4,8.06,0.0,0.0,0.3484,0.0846,0.959,54.49
wheat,8.611,632.67,30.23,475.21,22.08,28.57,17.42,79.26,4.78,6.73,270.85,28.38,283.15,0.575,0.6573,0.4073,0.8242,0.0942,0.0891,0.0379,0.1458,0.2323,0.0882,0.3321,4,7.09,0.0,0.0,0.3041,0.2947,4.697,37.81
rice,4.161,666.0,40.66,554.5,23.39,33.3,16.03,61.38,18.26,6.94,274.14,31.72,135.4,0.729,0.6784,0.5392,0.8205,0.0977,0.1859,0.0449,0.3562,0.2808,0.2122,0.3401,2,4.61,0.0,0.0,0.057,0.0,3.225,18.83
rice,2.872,712.93,11.33,765.41,28.51,37.08,21.52,56.14,1.0,6.37,244.33,27.41,62.43,0.603,0.5201,0.3121,0.6136,0.1589,-0.1706,-0.2919,-0.0988,0.1992,0.1197,0.3278,4,0.48,2.08,0.0,0.1669,0.1902,3.039,55.18
rice,8.527,947.07,14.29,983.04,28.57,34.06,23.95,70.31,14.78,6.18,211.31,8.29,198.8,0.415,0.7075,0.4092,0.8406,0.0765,-0.2049,-0.3629,-0.0432,0.3405,0.2437,0.5139,5,10.96,0.0,0.0,0.1232,0.1558,3.308,28.05
cotton,3.547,407.28,19.66,441.73,23.55,33.72,17.66,94.32,14.71,6.61,227.04,15.34,119.22,0.975,0.8494,0.5672,1.0,0.1051,-0.0151,-0.1969,0.1823,0.2942,0.2421,0.4734,5,-2.18,0.0,0.0,0.1612,0.0714,0.862,25.08
rice,6.031,957.42,14.07,1106.1,24.43,30.35,16.47,49.46,8.27,5.75,267.38,35.6,198.69,0.84,0.623,0.4894,0.7168,0.1079,0.0822,-0.0656,0.2473,0.2937,0.1407,0.3836,5,-1.61,0.0,0.0,0.0765,0.2325,3.2,41.69
wheat,2.315,787.29,13.3,924.22,32.6,38.37,23.47,78.12,10.65,7.16,237.53,8.43,154.91,0.853,0.7878,0.5445,0.8766,0.0836,-0.3298,-0.4803,-0.2784,-0.032,-0.1018,0.069,1,7.53,3.37,0.0,0.299,0.2541,4.173,62.04
chickpea,9.777,786.03,37.62,689.49,26.93,33.81,21.38,66.18,11.16,5.91,285.2,33.89,199.01,0.809,0.7344,0.4522,0.8896,0.1163,-0.1642,-0.3597,-0.0688,0.1933,0.0189,0.3444,5,-2.42,0.0,0.0,0.1452,0.1805,1.592,25.77
wheat,6.467,737.74,14.16,578.28,19.13,26.58,12.17,64.13,18.25,6.7,144.91,38.8,180.84,0.93,0.6326,0.4766,0.7173,0.0835,0.0649,-0.0903,0.157,0.3782,0.258,0.4655,1,4.46,0.0,0.0,0.1212,0.2177,4.866,35.31
rice,6.228,820.59,21.56,905.58,25.55,34.85,18.21,65.43,15.27,5.74,88.96,24.69,175.69,1.078,0.5826,0.3548,0.7497,0.1161,0.0509,-0.0083,0.2288,0.2071,0.0654,0.2639,4,2.88,0.0,0.0,0.1391,0.2895,3.582,53.19
maize,0.713,711.16,3.59,654.34,31.58,36.16,22.94,97.47,17.65,6.67,130.43,26.0,160.07,0.322,0.7998,0.5373,0.8869,0.1323,-0.2571,-0.3579,-0.1487,0.2483,0.0862,0.3333,4,4.71,1.16,0.0,0.3528,0.2479,4.158,33.46
wheat,2.703,1084.57,29.68,1153.45,29.65,34.59,21.33,65.32,19.59,7.72,133.96,11.15,143.91,0.303,0.6966,0.5837,0.8136,0.0668,-0.1484,-0.2124,-0.0506,0.137,0.0777,0.2687,4,-0.93,0.0,0.0,0.3026,0.1773,4.372,54.27
rice,6.683,961.41,30.57,1032.83,25.78,31.32,19.28,65.39,1.0,6.26,218.09,11.6,180.78,0.379,0.7659,0.541,0.9207,0.1312,-0.0886,-0.2276,-0.0117,0.3237,0.1918,0.382,5,9.16,0.0,0.0,0.1504,0.0759,3.376,29.13
rice,8.584,611.39,30.8,484.9,31.57,38.39,25.87,66.34,23.62,5.65,209.1,17.57,107.43,0.264,0.6318,0.3322,0.7367,0.1152,-0.1671,-0.2346,-0.1131,0.1118,-0.0078,0.2786,3,5.49,3.39,0.0,0.2596,0.2827,2.714,61.74
maize,9.744,1007.95,24.12,787.55,29.67,33.24,25.13,51.88,19.54,6.66,139.89,18.05,269.54,0.686,0.7314,0.5167,0.8433,0.0927,-0.2562,-0.4403,-0.1035,0.2294,0.1372,0.3134,1,-0.47,0.0,0.0,0.0865,0.1297,4.426,21.68
soybean,6.552,777.64,85.74,699.48,22.56,27.07,17.74,82.41,11.68,5.68,260.92,26.15,87.47,0.915,0.6973,0.5416,0.7968,0.0683,0.2003,0.0014,0.3719,0.5258,0.4091,0.6845,4,8.08,0.0,0.0,0.171,0.1336,1.714,43.38
cotton,1.654,821.29,8.38,636.89,32.84,38.7,23.83,54.61,13.15,7.11,183.26,24.11,223.18,0.732,0.6244,0.3884,0.721,0.0786,-0.3546,-0.4135,-0.2612,0.0774,-0.0372,0.1684,5,0.91,3.7,0.0,0.0837,0.1117,0.278,44.16
soybean,6.313,682.2,10.2,677.36,27.93,35.92,18.13,96.63,12.57,6.3,336.71,21.97,222.03,0.454,0.8406,0.6769,1.0,0.0693,-0.138,-0.3146,0.016,0.3379,0.2169,0.4454,5,3.0,0.92,0.0,0.162,0.1341,1.633,20.36
cotton,8.101,591.21,47.5,587.73,25.12,31.89,19.77,88.33,6.2,7.83,191.87,21.71,163.3,0.436,0.6115,0.3687,0.7114,0.1022,-0.0245,-0.1019,0.0729,0.3639,0.3133,0.5261,5,-4.35,0.0,0.0,0.2761,0.0655,0.801,50.55
chickpea,3.876,901.11,10.46,942.18,15.0,22.01,6.27,87.42,15.34,6.23,230.82,23.93,272.25,1.007,0.8333,0.5566,0.9937,0.115,0.3547,0.171,0.4215,0.3995,0.2788,0.48,1,9.54,0.0,0.0,0.0883,0.1681,0.924,14.74
cotton,5.336,579.09,35.16,664.65,23.54,32.23,16.24,57.92,12.42,7.95,194.71,28.68,112.49,0.398,0.7681,0.6276,0.9175,0.0762,0.0474,-0.0206,0.1764,0.3609,0.2608,0.4886,4,4.17,0.0,0.0,0.0736,0.1042,0.492,33.85
wheat,3.926,813.38,6.35,764.81,30.04,35.19,24.17,39.06,15.11,6.84,248.68,20.27,126.65,0.776,0.5834,0.4204,0.6719,0.0797,-0.3793,-0.539,-0.3273,0.2429,0.149,0.3903,3,10.21,0.19,0.0,0.0802,0.1458,4.486,34.54
soybean,9.125,855.53,31.34,600.44,26.15,35.63,20.42,67.61,18.46,7.51,280.1,36.82,130.27,1.021,0.7569,0.4845,0.9143,0.0626,-0.0728,-0.1475,0.0779,0.4109,0.3599,0.5251,3,13.55,0.63,0.0,0.1177,0.0023,1.313,23.8
maize,6.58,588.65,25.12,544.72,35.21,42.37,27.7,93.34,5.86,7.01,207.52,28.58,137.7,0.262,0.5894,0.3999,0.761,0.1296,-0.2826,-0.4446,-0.1553,0.1137,0.0081,0.1988,3,2.97,7.37,0.0,0.4552,0.2759,3.463,79.47
soybean,6.615,922.54,19.48,738.55,24.92,30.24,18.15,49.01,18.0,7.63,185.12,5.0,89.08,0.335,0.6481,0.5249,0.7648,0.0582,0.0144,-0.0729,0.1396,0.1362,0.0174,0.1925,4,2.38,0.0,0.0,0.0865,0.0672,1.6,50.69
rice,6.159,809.35,24.5,1005.9,31.54,35.61,25.41,45.43,9.33,7.26,247.19,31.09,308.45,0.717,0.7389,0.5877,0.9031,0.068,-0.4754,-0.5467,-0.388,0.2127,0.0685,0.3499,4,-4.31,0.61,0.0,0.0853,0.0671,3.099,18.48
rice,7.868,670.27,24.75,550.87,37.43,45.42,29.13,73.02,6.05,7.2,202.41,29.81,170.91,0.772,0.462,0.2441,0.6383,0.0564,-0.3291,-0.4895,-0.2022,0.066,-0.018,0.2366,3,5.28,10.42,0.0,0.2447,0.4135,1.551,89.41
chickpea,3.324,443.84,15.89,523.29,28.73,36.47,23.32,61.96,21.13,7.75,216.44,26.04,243.16,0.8,0.5854,0.4284,0.6902,0.0539,-0.2134,-0.303,-0.1482,0.2594,0.2007,0.3591,1,4.58,1.47,0.0,0.1132,0.105,1.076,45.25
chickpea,3.959,854.71,10.74,602.6,30.8,38.82,25.63,65.65,1.61,6.78,232.33,23.94,132.88,0.618,0.5619,0.3663,0.6505,0.1064,-0.365,-0.4323,-0.2966,0.1101,-0.0604,0.2055,1,8.8,3.82,0.0,0.156,0.3161,1.49,56.09
cotton,0.589,740.84,24.91,857.9,33.64,41.87,25.29,67.69,10.72,6.7,323.15,24.01,190.51,0.579,0.608,0.3135,0.7498,0.0679,-0.2677,-0.4637,-0.1934,0.0814,-0.0919,0.1615,4,10.27,6.87,0.0,0.2801,0.2565,0.717,57.57
wheat,7.373,740.25,12.37,742.51,22.0,31.06,14.82,75.01,18.3,6.71,239.88,22.37,234.56,1.102,0.7705,0.4926,0.9327,0.1484,0.0287,-0.1678,0.1372,0.312,0.1512,0.4021,5,1.1,0.0,0.0,0.0991,0.0977,4.721,14.28
soybean,8.099,568.19,63.37,385.88,32.43,41.63,28.2,25.0,10.32,6.81,283.77,14.1,151.96,0.749,0.6855,0.4198,0.7816,0.1059,-0.2992,-0.4171,-0.1849,0.1823,0.0381,0.2425,4,-3.36,6.63,0.0,0.0579,0.1684,1.471,52.59
chickpea,7.254,1136.27,30.19,1098.74,26.76,35.34,23.45,59.57,16.57,6.67,152.13,28.48,139.85,1.002,0.6782,0.3944,0.8316,0.0905,-0.1134,-0.2575,0.039,0.1855,0.0215,0.3372,3,6.25,0.34,0.0,0.2186,0.0372,1.052,29.16
cotton,7.133,869.01,48.04,1052.88,21.16,26.44,15.15,68.55,5.79,7.89,278.81,20.24,164.53,0.956,0.6578,0.4591,0.8394,0.0693,0.0671,-0.1223,0.1474,0.3652,0.1992,0.504,2,-3.92,0.0,0.0,0.065,0.0,0.695,33.49
maize,6.751,754.18,6.16,547.83,23.75,30.57,21.04,70.48,16.43,7.15,258.0,40.48,241.52,0.755,0.7716,0.5405,0.9231,0.1131,-0.121,-0.1836,-0.0007,0.3452,0.1827,0.4447,5,-4.97,0.0,0.0,0.1214,0.2258,4.484,33.24
soybean,8.776,546.01,74.83,662.98,19.81,27.26,8.84,63.69,14.15,7.36,236.27,42.58,149.16,0.978,0.6606,0.4909,0.7836,0.0588,0.1515,-0.0224,0.2798,0.4444,0.2806,0.5387,1,1.02,0.0,0.0,0.1377,0.1425,1.978,33.68
rice,6.245,430.18,126.07,345.64,32.83,39.64,27.3,56.23,23.89,6.43,330.89,23.35,160.62,0.891,0.7385,0.5807,0.8967,0.1316,-0.149,-0.2636,-0.0917,0.4012,0.3077,0.4875,3,-7.82,4.64,3.607,0.2657,0.3001,3.045,59.75
soybean,5.11,298.87,72.3,352.88,31.47,40.54,23.4,63.97,1.86,7.88,235.33,24.78,211.39,0.634,0.6982,0.4534,0.8246,0.1076,-0.1701,-0.3441,-0.0313,0.2313,0.06,0.4077,5,4.53,5.54,0.0,0.3653,0.2982,1.383,67.26
cotton,3.587,150.0,10.69,153.23,35.8,41.47,33.93,61.56,22.48,6.84,199.48,18.61,128.01,0.585,0.5662,0.4523,0.6877,0.1217,-0.4917,-0.6212,-0.3001,0.1275,0.0012,0.3069,3,5.63,6.47,0.0,0.1425,0.2446,0.761,63.19
chickpea,8.748,618.42,9.19,485.0,22.56,32.97,13.09,68.26,16.44,7.54,337.77,24.83,157.57,0.619,0.8588,0.6696,0.9924,0.09,-0.0091,-0.0828,0.1865,0.1553,0.0117,0.2069,2,-5.73,0.0,0.0,0.0796,0.0456,1.612,16.13
maize,0.965,150.0,30.58,187.16,33.78,39.12,25.56,56.44,15.93,5.5,303.94,28.11,171.55,0.624,0.6822,0.48,0.8391,0.1095,-0.2752,-0.3953,-0.1977,0.1488,0.025,0.2518,1,-2.14,4.12,0.0,0.1593,0.26,3.434,56.93
soybean,4.038,1262.91,6.31,1086.04,30.2,37.43,22.66,52.0,12.51,6.71,206.84,18.96,164.52,0.51,0.6757,0.4047,0.7713,0.1081,-0.3707,-0.5015,-0.2651,0.162,0.0453,0.2618,2,1.87,2.43,0.0,0.14,0.1746,1.174,38.95
chickpea,1.98,596.27,17.11,437.15,30.33,37.4,23.03,92.78,9.32,7.49,214.92,16.32,217.65,0.624,0.7295,0.4936,0.8637,0.074,-0.1465,-0.336,-0.0846,0.1878,0.0868,0.2407,5,9.31,2.4,0.0,0.2674,0.32,1.168,42.59
maize,6.189,345.87,4.04,241.96,25.83,32.36,21.07,73.07,13.53,6.76,314.94,33.82,205.79,0.481,0.6597,0.368,0.8296,0.0354,-0.0669,-0.1244,0.1137,0.1461,-0.0267,0.2405,1,3.66,0.0,0.0,0.2027,0.1547,4.284,23.05
wheat,5.771,338.68,3.55,320.7,28.7,38.32,20.54,66.6,23.57,6.77,335.74,29.91,175.89,0.381,0.7441,0.468,0.8833,0.0972,-0.1444,-0.2434,0.0175,0.1792,0.119,0.2339,5,6.51,3.32,0.0,0.143,0.1229,4.229,28.3
wheat,4.878,617.01,27.66,590.11,32.27,36.32,27.81,70.34,5.51,4.8,388.33,25.71,231.73,0.911,0.7572,0.6334,0.8954,0.123,-0.2187,-0.314,-0.0975,0.1798,0.0523,0.2841,2,-8.0,1.32,0.0,0.2217,0.3011,4.689,46.11
chickpea,4.504,634.28,90.58,664.0,31.33,34.15,25.38,72.79,11.5,6.82,282.3,7.66,174.24,0.728,0.7001,0.4763,0.8013,0.09,-0.1276,-0.2285,0.0367,0.4221,0.2766,0.5407,4,-0.33,0.0,0.058,0.3743,0.2417,1.373,36.58
soybean,5.269,892.93,5.05,938.55,24.59,28.24,12.01,50.05,8.28,6.42,227.73,9.56,249.41,1.035,0.6497,0.3657,0.8302,0.0972,-0.1265,-0.1885,0.0187,0.2533,0.0844,0.3452,4,11.04,0.0,0.0,0.0675,0.0741,1.085,24.63
rice,9.184,622.88,44.83,759.67,28.92,35.6,21.43,46.25,1.0,7.06,187.91,28.11,137.12,0.69,0.6492,0.3544,0.732,0.1178,-0.1746,-0.2611,-0.0274,0.2858,0.1557,0.415,1,-5.07,0.6,0.0,0.0914,0.2867,3.311,36.47
wheat,8.587,757.42,20.8,907.18,27.09,34.09,16.52,80.23,12.0,6.88,81.62,21.88,192.31,0.811,0.6041,0.3545,0.7885,0.074,-0.1116,-0.2561,0.0256,0.1539,0.0473,0.2913,2,10.36,0.0,0.0,0.1603,0.1721,4.552,38.23
rice,0.834,445.71,12.9,344.86,24.59,30.21,17.92,55.19,22.76,6.44,262.31,31.29,62.67,0.382,0.7705,0.5383,0.9281,0.117,-0.1845,-0.3546,-0.0644,0.3139,0.1911,0.4651,4,9.53,0.0,0.0,0.0434,0.192,3.408,19.33
chickpea,9.796,150.0,21.83,147.03,26.21,30.81,16.15,68.28,16.4,5.79,239.76,30.78,194.24,0.842,0.6692,0.488,0.7568,0.0698,-0.2302,-0.3212,-0.1526,0.2064,0.0982,0.3213,4,-9.78,0.0,0.0,0.09,0.1668,1.189,33.36
chickpea,8.944,288.54,44.26,236.97,23.24,31.97,16.23,48.76,4.82,6.81,234.62,40.2,136.58,0.759,0.5011,0.2828,0.7,0.0982,0.0713,-0.1277,0.1336,0.3478,0.2712,0.4779,3,5.65,0.0,0.0,0.0626,0.1824,1.184,32.01
maize,6.861,668.35,54.34,517.5,30.98,37.12,22.92,35.16,10.08,6.97,315.12,14.08,91.33,0.824,0.6222,0.3995,0.8017,0.0724,-0.2971,-0.4231,-0.1969,0.1254,0.0248,0.2173,1,12.36,2.12,0.0,0.1762,0.162,4.163,49.9
maize,3.019,540.82,40.48,524.29,22.89,30.15,19.02,50.56,6.34,8.06,227.66,13.75,116.39,0.54,0.8354,0.6303,0.9283,0.1139,-0.0565,-0.1297,0.0413,0.3531,0.2184,0.456,4,7.39,0.0,0.0,0.053,0.1248,3.941,43.76
soybean,8.624,796.72,55.53,627.86,34.43,41.11,25.39,86.76,13.75,6.13,240.08,16.35,175.04,0.778,0.6846,0.4825,0.7654,0.0894,-0.3464,-0.5036,-0.2106,0.2384,0.1218,0.3203,2,-1.27,6.11,0.0,0.2345,0.146,1.581,56.63
chickpea,1.947,792.86,8.75,720.56,22.73,28.44,14.4,65.65,19.18,7.97,361.75,31.98,160.36,0.48,0.6227,0.4652,0.7928,0.106,0.1629,0.0921,0.3214,0.176,0.0905,0.3315,1,-1.38,0.0,0.0,0.09,0.219,1.698,34.81
cotton,2.686,804.31,19.65,619.3,24.31,25.69,15.93,41.59,1.91,6.83,388.21,17.02,209.94,1.018,0.671,0.5021,0.8214,0.1436,-0.0976,-0.2571,0.0956,0.1402,0.0436,0.2882,3,2.48,0.0,0.0,0.0472,0.0,0.902,20.38
rice,1.995,163.67,44.94,193.53,25.95,30.94,22.42,57.08,5.95,6.9,293.41,21.49,153.58,1.175,0.6784,0.4086,0.806,0.0914,-0.0965,-0.1854,-0.0369,0.3236,0.2318,0.4284,3,1.66,0.0,0.0,0.0511,0.0197,2.958,19.68
wheat,0.92,699.87,44.25,641.56,29.28,35.63,21.65,39.64,17.89,6.94,297.23,27.89,229.81,0.822,0.8805,0.6284,1.0,0.1051,-0.0535,-0.1417,0.1139,0.2974,0.1777,0.4753,5,9.52,0.63,0.0,0.0436,0.2723,5.082,20.84
