crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield_estimate,risk_score_estimate
rice,7.189,406.97,38.42,506.78,24.71,31.18,16.34,98.0,1.0,7.47,171.01,25.76,248.34,0.767,0.549,0.3537,0.6968,0.1107,-0.062,-0.1516,0.1062,0.4055,0.348,0.4713,1,4.79,0.0,0.0,0.3544,0.3027,3.063,62.13
soybean,7.647,855.01,25.38,715.74,29.94,37.52,23.01,48.04,16.82,6.42,252.29,18.96,204.59,0.502,0.6327,0.3683,0.8043,0.0873,-0.1969,-0.3706,-0.0796,0.1356,0.0727,0.3104,2,-0.76,2.52,0.0,0.0721,0.0818,1.77,35.53
chickpea,8.228,446.91,8.91,473.09,25.54,34.57,21.17,76.91,11.63,7.11,290.35,12.54,177.37,0.868,0.5875,0.4271,0.7732,0.0756,-0.0849,-0.2613,0.0325,0.2001,0.0243,0.2608,4,6.08,0.0,0.0,0.1472,0.0,1.806,34.32
soybean,0.64,837.75,26.29,1000.27,29.34,38.8,19.9,62.55,1.0,5.91,189.22,25.49,141.67,0.864,0.6355,0.5334,0.762,0.02,-0.3135,-0.4568,-0.2444,0.2126,0.0423,0.2812,2,1.1,3.8,0.0,0.2597,0.3005,1.38,59.28
rice,7.965,413.92,51.76,506.34,30.15,39.15,19.79,51.28,22.8,7.69,339.99,21.26,270.79,0.537,0.8165,0.6467,0.9398,0.126,-0.1504,-0.2829,-0.0526,0.341,0.1947,0.4588,3,0.26,4.15,0.0,0.1431,0.1347,3.032,44.9
soybean,4.213,461.31,9.77,453.32,30.37,35.56,25.01,67.18,22.62,7.08,295.28,22.21,210.81,0.506,0.7522,0.64,0.8963,0.0653,-0.2085,-0.3965,-0.0539,0.084,-0.0325,0.1381,5,1.77,0.56,0.0,0.2064,0.1669,1.348,30.27
rice,4.613,405.79,13.6,502.13,22.17,31.85,15.52,57.93,3.54,6.97,223.55,12.08,218.63,0.635,0.6663,0.4283,0.7889,0.1092,-0.0168,-0.0999,0.1323,0.2529,0.1583,0.3821,2,7.32,0.0,0.0,0.0681,0.1904,2.888,38.73
cotton,9.334,428.88,56.31,370.91,25.26,29.75,16.55,53.43,19.0,7.05,144.88,33.62,135.53,1.144,0.8124,0.6741,0.8959,0.111,-0.0075,-0.1303,0.1603,0.2538,0.1422,0.319,3,11.4,0.0,0.0,0.0987,0.1483,0.774,32.05
wheat,1.369,790.25,26.33,845.61,25.14,30.21,19.15,75.46,11.57,6.28,246.77,11.22,243.88,0.749,0.6724,0.5258,0.8463,0.0985,-0.0472,-0.1185,0.0063,0.2902,0.1268,0.3404,2,0.58,0.0,0.0,0.2399,0.1097,4.744,35.01
wheat,6.516,425.75,23.24,412.89,19.95,27.32,12.1,68.36,8.32,6.11,312.62,37.24,171.17,1.521,0.8714,0.5731,1.0,0.0999,0.1223,-0.0426,0.1871,0.3812,0.2954,0.434,2,8.03,0.0,0.0,0.0823,0.1694,4.451,18.84
rice,2.213,899.01,29.55,1063.3,29.45,34.94,20.04,25.0,6.64,7.57,216.69,14.13,172.06,0.814,0.6786,0.5106,0.7825,0.0611,-0.3081,-0.4095,-0.1408,0.2384,0.1576,0.3732,3,6.02,0.0,0.0,0.0318,0.1392,3.146,29.86
rice,4.294,596.86,19.22,595.28,27.08,34.12,22.84,50.89,10.9,5.96,320.5,28.38,269.17,0.929,0.6261,0.5216,0.7206,0.0342,-0.1408,-0.2645,-0.0446,0.2179,0.076,0.3346,1,-3.02,0.0,0.0,0.1067,0.0489,3.427,33.3
wheat,2.708,460.21,10.83,422.6,23.78,30.91,19.88,59.53,11.99,6.93,223.38,15.47,328.61,1.067,0.9067,0.7618,1.0,0.103,-0.0187,-0.1604,0.1143,0.2347,0.0908,0.2996,3,3.78,0.0,0.0,0.0345,0.0,5.015,21.3
maize,3.423,935.2,111.43,1072.3,28.11,32.65,17.67,87.34,10.72,6.63,269.52,13.74,143.87,0.56,0.7265,0.528,0.8767,0.1272,0.0337,-0.0437,0.1722,0.4592,0.3048,0.622,3,-5.16,0.0,2.143,0.4449,0.1933,4.566,41.36
soybean,1.946,622.29,33.3,648.29,24.24,28.79,16.23,70.23,22.75,7.08,190.12,25.37,109.74,0.479,0.6767,0.4036,0.8553,0.1382,0.1602,0.0562,0.285,0.2591,0.0841,0.3437,5,5.87,0.0,0.0,0.1113,0.1488,1.635,32.32
chickpea,1.095,892.91,21.39,962.69,35.09,43.7,28.08,67.69,13.26,7.26,190.54,12.75,155.79,0.592,0.5512,0.326,0.6341,0.0715,-0.4176,-0.4968,-0.3119,0.1661,0.0986,0.2913,2,6.05,8.7,0.0,0.1846,0.4074,1.153,85.56
chickpea,5.784,1043.23,8.96,827.04,26.86,36.15,20.39,72.87,10.83,6.78,283.03,36.47,105.56,0.621,0.6213,0.347,0.7934,0.0634,-0.203,-0.3218,-0.1226,0.1411,0.0869,0.2625,1,7.5,1.15,0.0,0.119,0.2021,1.152,33.87
maize,1.703,576.16,45.28,613.39,27.39,39.41,21.96,75.43,10.44,7.45,353.78,34.88,201.09,1.199,0.7466,0.4954,0.8838,0.02,-0.0547,-0.1881,0.0802,0.3486,0.2902,0.4327,2,8.45,4.41,0.0,0.1124,0.1461,4.414,46.34
rice,6.552,552.04,41.86,631.71,26.53,32.31,20.12,78.75,18.29,5.54,238.69,16.27,137.32,0.625,0.5979,0.4263,0.7211,0.0869,-0.1077,-0.2856,-0.0361,0.3938,0.3429,0.5342,4,4.02,0.0,0.0,0.1609,0.1926,3.475,50.46
maize,4.362,846.58,21.1,1009.23,24.78,28.16,18.21,79.49,15.92,7.28,185.5,10.97,111.12,0.649,0.6732,0.5456,0.7879,0.0545,-0.0498,-0.1676,0.106,0.3453,0.2557,0.4485,3,1.67,0.0,0.0,0.219,0.2987,4.165,47.92
wheat,4.408,517.78,19.88,410.85,23.45,30.76,14.61,44.25,18.28,7.7,354.17,13.22,277.2,0.802,0.7323,0.4983,0.85,0.115,0.045,-0.0139,0.1756,0.2656,0.163,0.401,1,6.78,0.0,0.0,0.0732,0.1684,4.996,27.94
soybean,3.919,421.29,35.88,358.69,34.37,44.25,29.89,75.4,9.5,6.56,315.68,9.48,181.9,1.121,0.7109,0.4474,0.8241,0.1506,-0.3464,-0.4971,-0.1646,0.2445,0.1769,0.3762,3,2.9,9.25,0.0,0.3346,0.3541,1.221,76.25
cotton,7.893,630.41,27.69,416.18,29.1,34.27,21.99,72.55,11.54,6.9,230.28,12.04,200.43,0.691,0.6691,0.3991,0.8101,0.109,-0.2031,-0.3096,-0.0851,0.2273,0.1321,0.318,1,8.49,0.0,0.0,0.1818,0.0667,0.922,26.22
chickpea,3.157,530.07,15.17,410.97,26.58,32.67,20.96,87.94,23.22,6.46,212.49,15.78,210.63,0.73,0.561,0.4053,0.7535,0.0754,-0.1236,-0.3012,0.0369,0.2147,0.0576,0.3272,1,-3.88,0.0,0.0,0.4619,0.1429,1.671,57.1
cotton,8.855,759.98,36.82,557.49,22.9,29.21,15.96,67.79,17.85,6.85,205.38,25.87,220.05,0.918,0.7249,0.4912,0.9237,0.1107,0.0999,-0.0171,0.2179,0.3447,0.2323,0.4257,1,7.89,0.0,0.0,0.1117,0.1974,0.573,25.27
soybean,8.973,805.37,41.73,857.42,29.85,33.18,22.99,65.93,14.82,7.3,346.54,11.57,145.12,0.929,0.6189,0.4462,0.7922,0.0974,-0.2788,-0.3315,-0.16,0.1994,0.1282,0.2902,5,10.21,0.0,0.0,0.1355,0.1012,1.385,35.83
cotton,8.163,500.52,31.46,386.34,19.42,30.99,12.71,44.41,11.83,6.68,213.66,10.67,163.12,0.823,0.8472,0.5537,0.9603,0.113,0.1121,-0.0048,0.1659,0.2984,0.2086,0.4121,2,-4.23,0.0,0.0,0.0355,0.2001,1.275,23.85
soybean,5.078,543.01,79.08,358.94,23.56,30.08,15.1,40.86,17.59,7.24,271.83,20.29,142.15,0.636,0.7243,0.5325,0.8284,0.08,0.0124,-0.0754,0.2123,0.2625,0.0908,0.3896,3,-2.97,0.0,0.0,0.0703,0.1558,2.044,30.42
rice,0.596,713.33,7.89,686.37,27.37,35.99,19.47,61.47,22.55,8.2,316.83,31.24,153.39,0.809,0.5631,0.4137,0.7358,0.1028,-0.2776,-0.4428,-0.1134,0.1924,0.0523,0.3529,3,5.1,0.99,0.0,0.0918,0.1595,3.543,49.92
soybean,8.002,1107.95,9.95,931.59,26.85,32.34,20.1,68.79,18.9,6.64,103.24,29.89,185.83,0.606,0.6612,0.5134,0.7919,0.073,-0.1807,-0.2389,-0.0098,0.1632,0.0605,0.2681,4,4.46,0.0,0.0,0.0669,0.1728,1.537,24.87
rice,2.049,628.76,7.43,479.45,26.78,35.03,20.66,70.01,13.49,6.83,182.95,27.96,173.33,0.391,0.7235,0.4839,0.8083,0.1035,-0.1086,-0.2551,-0.0037,0.327,0.2359,0.4532,1,5.44,0.03,0.0,0.1565,0.1998,3.222,26.97
soybean,4.701,440.2,11.62,539.65,22.43,34.05,14.23,58.5,21.32,5.98,153.55,24.95,189.68,0.911,0.589,0.4412,0.7065,0.0989,-0.075,-0.138,0.106,0.31,0.2399,0.3789,3,4.37,0.0,0.0,0.074,0.0,1.599,33.91
soybean,1.557,292.26,26.45,197.64,32.73,44.27,24.72,74.18,15.16,7.15,299.45,17.8,173.62,0.662,0.7093,0.4118,0.8004,0.0806,-0.2857,-0.3509,-0.0878,0.1074,-0.0282,0.2696,5,-2.19,9.27,0.0,0.2732,0.2739,0.9,64.75
soybean,3.644,515.32,57.76,404.76,27.01,34.48,21.15,60.02,13.78,6.87,264.83,23.9,139.78,0.323,0.634,0.4508,0.8005,0.1434,-0.0809,-0.2182,0.1047,0.2779,0.1726,0.448,4,8.1,0.0,0.0,0.2819,0.1614,1.265,34.94
soybean,9.015,621.31,28.45,512.74,33.48,39.16,24.45,83.13,21.74,6.41,324.7,10.94,111.32,1.079,0.6457,0.5025,0.7975,0.0561,-0.314,-0.3729,-0.19,0.1691,0.1101,0.3416,4,6.83,4.16,0.0,0.4161,0.2718,1.097,66.63
soybean,7.769,938.82,20.84,1084.91,15.0,20.0,6.24,57.87,18.63,7.11,209.53,18.21,208.4,0.894,0.5812,0.355,0.699,0.1308,0.1741,0.0438,0.2537,0.3458,0.2917,0.4782,4,4.75,0.0,0.0,0.041,0.2313,1.53,35.35
rice,0.639,535.33,42.34,376.11,24.19,29.77,19.01,67.37,15.28,6.72,284.17,14.49,218.06,0.988,0.7096,0.4995,0.8551,0.0292,-0.0547,-0.2517,0.0383,0.2832,0.1781,0.3385,4,-0.72,0.0,0.0,0.0563,0.1332,3.303,16.11
maize,8.665,951.8,24.86,637.1,22.49,29.88,16.31,69.64,23.94,6.53,203.82,16.68,134.49,0.67,0.6627,0.4393,0.833,0.0566,-0.0578,-0.2181,0.0592,0.2785,0.1413,0.3794,2,-1.14,0.0,0.0,0.0789,0.2209,4.329,40.95
cotton,3.803,150.0,25.18,131.83,31.47,38.96,28.69,65.09,26.83,6.82,217.96,32.17,276.06,0.823,0.6117,0.4433,0.769,0.0366,-0.3038,-0.4454,-0.1102,0.1705,0.0843,0.3502,3,10.05,3.96,0.0,0.1608,0.2101,0.565,42.65
wheat,3.701,800.79,7.59,740.91,28.6,42.13,20.15,70.49,7.68,7.11,278.94,30.81,233.58,0.178,0.6953,0.4771,0.8305,0.0569,-0.2054,-0.36,-0.1294,0.1919,0.0982,0.2965,3,5.92,7.13,0.0,0.1278,0.1908,3.837,54.55
wheat,2.768,715.05,32.87,562.25,29.97,36.7,21.53,69.81,9.75,5.96,199.84,15.91,157.98,0.732,0.6658,0.5327,0.7657,0.1362,-0.1528,-0.2349,-0.0348,0.1985,0.1224,0.3103,3,10.74,1.7,0.0,0.1817,0.3223,4.784,51.74
chickpea,9.123,679.07,6.82,536.63,31.24,35.98,23.55,67.53,7.11,6.89,234.45,7.94,263.24,0.888,0.6266,0.5062,0.707,0.076,-0.2063,-0.3789,-0.0585,0.1734,0.0751,0.3054,3,1.24,0.98,0.0,0.1771,0.0278,1.389,39.21
soybean,2.935,1003.87,36.22,1099.83,30.78,37.99,24.54,91.74,20.7,7.29,164.27,40.87,140.31,0.551,0.6452,0.5401,0.7686,0.082,-0.1925,-0.2821,-0.0632,0.2247,0.1594,0.3872,1,-0.48,2.99,0.0,0.472,0.3274,1.473,71.74
chickpea,6.702,798.55,53.0,664.36,27.81,39.01,18.61,76.14,14.5,5.92,211.53,23.06,273.11,1.151,0.7209,0.4291,0.8642,0.0627,0.029,-0.0779,0.1721,0.2063,0.1034,0.3313,1,1.4,4.01,0.0,0.3324,0.2812,1.306,58.57
wheat,1.726,882.04,38.38,574.34,36.24,42.17,28.8,83.14,18.37,7.6,227.89,18.02,220.64,0.813,0.5769,0.3464,0.6605,0.1078,-0.4219,-0.6211,-0.364,0.0753,-0.0387,0.1834,5,-2.23,7.17,0.0,0.4141,0.2502,3.347,82.8
wheat,0.79,902.51,24.41,1077.02,27.62,33.01,21.35,90.0,15.05,6.72,183.73,39.38,248.14,0.713,0.8136,0.5145,0.9233,0.0773,-0.1817,-0.3619,-0.0097,0.2313,0.1593,0.3602,4,3.18,0.0,0.0,0.1809,0.085,4.917,14.49
rice,2.838,620.58,33.76,752.12,27.16,37.87,18.53,50.26,13.88,7.36,271.66,34.35,248.44,0.624,0.7091,0.6036,0.8968,0.1059,-0.167,-0.3192,-0.0356,0.2004,0.0453,0.2806,3,4.13,2.87,0.0,0.1298,0.0907,2.993,34.69
soybean,1.602,1002.46,53.66,1075.15,27.83,32.22,22.71,66.82,26.37,6.14,322.23,10.57,206.28,0.773,0.6796,0.4611,0.814,0.059,-0.1694,-0.33,-0.0839,0.2472,0.1787,0.3757,1,-3.93,0.0,0.0,0.1758,0.1058,1.883,31.37
rice,7.077,689.79,33.23,665.91,31.53,35.88,22.56,68.22,5.74,6.01,299.38,26.12,273.94,0.203,0.74,0.5002,0.8971,0.1025,-0.2596,-0.3492,-0.1123,0.0303,-0.1169,0.0915,5,8.45,0.88,0.0,0.3054,0.2495,3.551,36.39
rice,4.742,748.69,2.27,498.85,23.86,28.5,20.45,75.19,16.29,8.04,175.6,26.69,177.2,0.729,0.813,0.6485,0.9117,0.1279,-0.0494,-0.2106,0.0211,0.1923,0.1352,0.2803,1,-0.16,0.0,0.0,0.0751,0.1536,3.591,32.97
chickpea,8.914,511.11,11.73,633.97,29.62,36.06,25.2,52.39,13.57,6.82,132.58,33.08,173.6,1.446,0.8163,0.6301,0.9406,0.0207,-0.2198,-0.2795,-0.0563,0.1214,0.0025,0.2169,1,7.18,1.06,0.0,0.0572,0.2196,1.02,26.23
maize,5.941,236.29,3.38,202.32,27.18,32.83,22.01,57.16,14.07,6.6,155.79,41.29,184.34,0.573,0.5737,0.3536,0.6654,0.1257,-0.073,-0.2019,0.0254,0.1204,0.0063,0.1783,5,-10.0,0.0,0.0,0.0675,0.0,3.59,20.28
maize,1.927,1061.25,2.77,1193.66,32.3,38.7,24.59,72.06,8.37,6.85,333.54,15.08,223.32,0.972,0.7066,0.4233,0.8431,0.0905,-0.3725,-0.4664,-0.2848,0.0333,-0.0758,0.126,4,2.33,3.7,0.0,0.1159,0.0931,3.604,28.77
chickpea,4.304,479.67,36.56,384.32,34.93,41.55,27.43,63.4,14.67,6.95,267.67,10.07,179.31,0.517,0.6629,0.387,0.7906,0.12,-0.1467,-0.2754,0.0529,0.1282,0.0381,0.2137,4,3.87,6.55,0.0,0.2163,0.2046,1.195,57.8
chickpea,5.091,486.21,8.33,583.58,28.15,37.42,18.72,59.68,4.78,7.05,268.78,23.41,206.33,1.018,0.6501,0.3704,0.7741,0.1029,-0.2333,-0.3962,-0.15,0.175,-0.003,0.2507,1,12.92,2.42,0.0,0.1684,0.1054,1.688,42.58
chickpea,2.209,876.27,32.01,772.41,25.13,31.01,15.7,65.86,12.34,7.09,383.87,19.02,141.65,0.726,0.728,0.4652,0.8914,0.0756,-0.1307,-0.2942,-0.0198,0.3468,0.2398,0.4542,4,11.65,0.0,0.0,0.1325,0.1269,1.361,24.91
wheat,8.43,1179.49,32.87,1355.63,29.96,34.55,24.54,79.37,11.67,6.6,238.73,30.15,251.7,0.515,0.683,0.4182,0.783,0.1564,-0.2966,-0.4434,-0.2003,0.1498,-0.0203,0.2572,2,3.21,0.0,0.0,0.2719,0.1481,4.581,30.76
soybean,3.408,667.33,37.49,557.73,23.62,30.7,16.08,79.88,13.02,6.6,323.16,19.19,221.98,0.355,0.6664,0.4985,0.7792,0.0633,0.0948,-0.1005,0.2875,0.3197,0.183,0.49,4,19.48,0.0,0.0,0.1917,0.1295,1.277,30.58
wheat,5.256,536.84,24.08,623.14,28.04,38.1,19.62,67.16,12.67,6.23,295.36,26.95,241.79,0.67,0.7152,0.4956,0.9033,0.0878,-0.1805,-0.3483,-0.044,0.2376,0.1583,0.3295,2,3.98,3.1,0.0,0.15,0.1772,4.883,32.81
rice,3.896,629.91,146.03,538.4,25.88,30.57,19.99,79.76,15.49,6.25,275.16,5.0,219.69,0.982,0.6878,0.42,0.7971,0.0743,0.1963,0.0717,0.3462,0.4771,0.3451,0.6022,5,8.31,0.0,5.603,0.3869,0.4647,3.352,69.28
rice,2.247,698.93,64.5,711.72,26.05,35.13,19.53,50.74,9.64,7.39,275.69,11.12,210.0,1.079,0.8808,0.6897,1.0,0.053,-0.0855,-0.1406,0.007,0.2553,0.0852,0.3719,2,1.24,0.13,0.0,0.0765,0.0,3.142,23.61
chickpea,9.202,904.89,42.6,796.46,29.07,33.89,21.6,57.46,10.16,6.9,328.39,29.09,282.23,0.804,0.6866,0.4732,0.8755,0.0882,-0.0938,-0.275,0.0988,0.2314,0.167,0.3908,2,7.3,0.0,0.0,0.0957,0.1316,1.643,23.93
rice,9.108,595.03,31.54,581.55,27.48,32.09,20.36,62.8,16.71,5.42,302.79,20.28,194.4,1.059,0.6311,0.4921,0.7485,0.0445,-0.1902,-0.3504,-0.0368,0.2916,0.1795,0.3807,5,2.79,0.0,0.0,0.143,0.2294,3.529,38.71
rice,7.115,411.37,44.16,512.72,28.1,35.1,22.11,67.76,13.65,7.56,253.88,19.75,195.84,0.892,0.7244,0.5024,0.8463,0.0998,-0.1545,-0.3097,-0.0525,0.1693,0.0217,0.3007,3,5.76,0.1,0.0,0.3226,0.1785,3.197,40.91
soybean,2.821,599.18,22.93,545.74,30.7,35.32,26.51,68.27,21.92,7.09,257.56,26.96,182.48,0.443,0.5397,0.2863,0.7324,0.0425,-0.2523,-0.3061,-0.098,0.2325,0.1388,0.3158,2,7.83,0.32,0.0,0.301,0.1915,1.559,54.78
wheat,3.224,737.61,64.11,909.11,35.38,40.97,27.95,85.65,17.78,6.35,288.51,27.97,120.94,1.006,0.6105,0.4299,0.721,0.1017,-0.2834,-0.4277,-0.2114,0.2363,0.0747,0.3875,4,11.04,5.97,0.0,0.5513,0.3262,3.69,73.72
soybean,4.747,260.98,62.31,171.48,26.44,34.67,17.53,80.09,13.19,7.04,344.59,13.63,208.56,1.25,0.8237,0.5603,0.9784,0.0809,0.0244,-0.1301,0.1089,0.4072,0.3151,0.495,5,7.6,0.0,0.0,0.2485,0.2362,1.307,30.15
maize,7.84,745.03,35.82,623.19,21.89,29.53,11.96,84.4,8.45,6.35,319.88,12.28,111.5,1.033,0.8204,0.6192,1.0,0.1074,0.1853,0.0445,0.2834,0.3009,0.2258,0.4649,3,4.57,0.0,0.0,0.1857,0.2404,4.241,33.82
wheat,3.994,930.43,16.69,700.77,24.54,35.12,14.21,71.48,9.04,7.6,343.52,24.36,100.49,0.791,0.7976,0.6844,0.9019,0.0807,-0.0045,-0.1085,0.0923,0.3212,0.1574,0.4448,1,0.82,0.12,0.0,0.0336,0.0246,4.425,22.76
soybean,1.166,524.35,35.7,506.81,29.48,36.27,21.86,76.23,20.27,6.33,177.91,29.06,244.44,0.935,0.475,0.3044,0.5739,0.0985,-0.1395,-0.2391,-0.084,0.2178,0.1242,0.3349,3,3.52,1.27,0.0,0.241,0.2253,1.029,52.9
cotton,7.269,696.66,61.18,753.16,33.12,43.64,26.39,67.02,15.71,7.39,296.8,33.91,153.68,0.854,0.5734,0.2935,0.7059,0.108,-0.1403,-0.2391,0.0228,0.1863,0.0483,0.3216,5,4.61,8.64,0.0,0.2704,0.436,0.762,85.18
chickpea,1.847,694.56,45.52,790.3,27.56,35.4,17.39,81.88,1.8,7.16,354.2,23.89,186.48,0.412,0.575,0.3403,0.7574,0.1103,0.0461,-0.0961,0.2057,0.2634,0.1013,0.3625,2,0.16,0.4,0.0,0.3158,0.1442,1.456,50.17
cotton,7.402,308.46,36.28,322.09,30.52,35.44,25.32,62.85,3.18,6.48,100.11,31.1,280.16,0.937,0.7782,0.5903,0.8737,0.1012,-0.2422,-0.4131,-0.1423,0.0495,-0.1249,0.1347,3,15.27,0.44,0.0,0.0956,0.0984,0.283,14.9
rice,8.852,397.6,40.2,300.79,23.6,30.17,16.72,64.29,7.34,6.45,263.75,20.36,190.44,1.005,0.8834,0.6158,1.0,0.0477,-0.0167,-0.1525,0.14,0.3589,0.2539,0.4825,4,11.97,0.0,0.0,0.0946,0.1829,3.593,26.51
maize,5.563,773.47,18.06,941.66,28.36,34.76,18.88,71.35,16.88,6.29,216.88,8.72,141.96,0.57,0.7326,0.5366,0.8976,0.0441,-0.116,-0.2415,-0.0232,0.1378,0.0589,0.274,5,17.39,0.0,0.0,0.1671,0.0554,4.297,29.02
soybean,9.303,888.69,37.35,814.95,27.76,32.79,18.72,71.26,8.0,6.82,74.76,23.94,188.79,0.718,0.6403,0.4817,0.764,0.0988,-0.2111,-0.2925,-0.1497,0.2691,0.1961,0.4437,3,-0.32,0.0,0.0,0.1619,0.1178,1.295,28.67
cotton,5.57,770.59,23.8,673.98,28.86,33.42,23.29,35.74,11.02,7.23,253.54,20.79,150.89,0.814,0.7779,0.6467,0.9202,0.1145,-0.1377,-0.305,-0.0578,0.2638,0.1406,0.3459,5,2.88,0.0,0.0,0.0705,0.0875,0.818,22.43
cotton,1.301,571.21,27.03,593.52,32.15,41.86,24.29,42.41,10.28,6.38,221.08,30.89,181.48,0.746,0.6906,0.4876,0.8645,0.1107,-0.3654,-0.5612,-0.2543,0.2374,0.1415,0.405,4,4.88,6.86,0.0,0.0846,0.1887,0.96,49.46
rice,8.823,452.97,58.24,561.25,22.31,27.54,18.4,72.36,14.13,6.52,101.85,18.87,172.42,1.366,0.7524,0.5542,0.8944,0.0903,0.1939,0.0717,0.3018,0.4333,0.2727,0.5098,1,5.4,0.0,0.0,0.2402,0.2453,3.4,29.68
rice,0.738,949.64,18.46,716.9,30.02,41.07,22.49,65.64,13.76,7.44,275.54,20.79,193.18,0.876,0.6242,0.3263,0.7448,0.0503,-0.2684,-0.4645,-0.1759,0.1377,0.0207,0.2342,2,4.03,6.07,0.0,0.1932,0.2261,3.035,64.37
wheat,6.567,626.96,34.09,631.22,26.0,33.21,20.7,51.53,13.28,6.49,395.07,24.93,187.24,0.362,0.7402,0.4656,0.8513,0.0655,-0.1783,-0.3761,-0.04,0.2384,0.087,0.3023,5,7.45,0.0,0.0,0.0386,0.0755,4.429,25.02
cotton,1.08,607.54,31.52,637.29,27.72,30.59,24.54,83.31,15.88,6.32,298.77,42.82,142.05,0.593,0.789,0.5272,0.9753,0.0806,-0.158,-0.2134,0.0083,0.3347,0.201,0.4382,3,11.33,0.0,0.0,0.2116,0.0767,0.733,21.93
chickpea,7.346,504.02,25.67,386.49,30.42,37.15,21.24,86.48,27.15,5.15,211.37,29.81,193.33,0.333,0.6748,0.4938,0.8244,0.0465,-0.3204,-0.5159,-0.1378,0.1784,0.022,0.3237,5,8.24,2.15,0.0,0.2619,0.2815,1.098,65.95
chickpea,5.262,486.02,73.25,495.44,26.29,35.42,20.04,60.44,11.0,7.5,247.18,24.52,176.19,1.03,0.6566,0.3915,0.7857,0.1239,-0.0613,-0.1761,0.1053,0.3817,0.2105,0.4961,2,9.66,0.42,0.0,0.2675,0.1538,1.059,48.65
chickpea,9.072,567.4,32.04,401.27,28.49,36.39,20.37,70.03,14.45,6.67,270.87,34.39,180.57,0.405,0.8447,0.6662,0.9251,0.08,0.0018,-0.0887,0.0923,0.2165,0.0751,0.3904,4,2.77,1.39,0.0,0.0948,0.1682,1.573,18.03
rice,6.05,494.01,32.41,591.89,23.16,27.25,14.92,58.64,22.14,6.61,177.63,26.72,115.15,0.818,0.6298,0.5083,0.7925,0.1273,0.001,-0.0569,0.0996,0.3934,0.3347,0.5496,5,7.92,0.0,0.0,0.1238,0.0482,3.026,32.19
maize,6.962,464.88,40.37,411.02,39.12,46.72,30.48,64.37,22.31,7.05,324.44,34.19,207.48,0.391,0.5412,0.26,0.6583,0.031,-0.4063,-0.4691,-0.3094,0.1016,0.0322,0.2242,1,5.76,11.72,0.0,0.4641,0.4459,2.176,87.77
soybean,1.845,317.24,20.12,335.57,23.66,27.02,13.82,83.31,13.63,8.01,131.24,24.03,134.68,0.608,0.6127,0.4146,0.8043,0.0978,-0.0346,-0.2179,0.1295,0.274,0.1005,0.4432,5,8.92,0.0,0.0,0.183,0.012,1.374,43.3
soybean,9.196,539.7,32.39,536.61,28.81,37.25,20.88,88.27,23.05,6.76,341.43,18.83,191.0,0.287,0.731,0.4715,0.8907,0.0921,-0.2585,-0.4488,-0.0832,0.2219,0.1278,0.3463,3,2.75,2.25,0.0,0.4101,0.3886,1.622,45.16
wheat,3.058,338.76,27.27,278.06,25.96,31.07,21.04,87.47,8.55,6.74,207.97,16.78,140.82,0.778,0.6151,0.4584,0.76,0.1219,-0.1463,-0.3378,0.0321,0.1533,0.087,0.255,2,3.45,0.0,0.0,0.2292,0.19,4.019,42.64
cotton,9.428,710.65,38.06,559.89,27.68,36.41,23.53,49.21,8.52,7.34,289.53,5.0,261.54,0.659,0.8528,0.5723,1.0,0.0988,-0.1163,-0.1916,-0.0237,0.3187,0.2473,0.4714,3,3.85,1.41,0.0,0.0876,0.1086,0.683,41.1
chickpea,9.77,586.97,35.86,531.69,31.61,39.24,20.26,78.04,21.31,6.72,259.83,19.97,268.55,0.542,0.7978,0.6931,0.8992,0.0844,-0.141,-0.2326,-0.0486,0.1772,0.0534,0.2688,4,-0.8,4.24,0.0,0.2103,0.2221,1.568,37.57
chickpea,5.607,217.06,37.02,197.85,24.0,31.22,16.0,69.34,15.99,6.52,245.62,34.98,222.22,0.76,0.7907,0.6595,0.875,0.091,0.1016,-0.0872,0.2848,0.3709,0.2737,0.4544,2,4.72,0.0,0.0,0.2364,0.13,1.015,24.27
cotton,9.094,589.1,52.5,560.94,30.7,39.57,22.77,57.41,14.87,6.43,336.39,23.29,131.48,0.289,0.7023,0.4092,0.8893,0.1005,-0.154,-0.2431,0.0068,0.1153,-0.0372,0.1694,5,5.98,4.57,0.0,0.2899,0.2189,0.982,49.04
wheat,1.832,490.22,30.82,477.62,32.93,39.95,20.76,71.36,22.64,6.01,60.0,11.51,131.61,0.621,0.6974,0.5262,0.8329,0.047,-0.3998,-0.5584,-0.2994,0.1164,0.0169,0.2344,5,0.2,4.95,0.0,0.1875,0.3226,4.079,64.7
rice,6.776,664.08,30.64,705.33,32.3,37.5,24.47,57.31,20.62,6.47,368.04,22.42,268.99,0.813,0.6602,0.4892,0.7614,0.0395,-0.1335,-0.2178,0.0028,0.2761,0.1134,0.4312,5,7.17,2.5,0.0,0.1743,0.0722,3.239,32.97
