crop,area_ha,rainfall,rainfall_7d,rainfall_30d,temp_mean,temp_max,temp_min,humidity,wind_speed,soil_ph,nitrogen,phosphorus,potassium,organic_carbon,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndwi_mean,ndwi_min,ndwi_max,ndmi_mean,ndmi_min,ndmi_max,growth_stage,sowing_delay_days,heat_stress_days,excessive_rainfall_index,disease_probability,historical_loss,yield
cotton,3.389,756.44,13.95,884.54,32.56,38.09,28.33,70.85,15.85,6.52,278.46,24.38,140.12,0.739,0.5998,0.3848,0.6819,0.0481,-0.3869,-0.4694,-0.3193,0.1231,0.021,0.1832,5,5.69,3.09,0.0,0.3812,0.2581,0.415
maize,4.191,474.13,38.79,483.19,22.41,29.03,14.79,69.2,20.08,6.95,225.87,15.59,145.39,0.501,0.7666,0.4756,0.935,0.086,0.1523,0.0984,0.2647,0.3109,0.2078,0.4258,4,7.35,0.0,0.0,0.1066,0.0859,4.294
maize,7.753,490.79,37.19,489.23,27.86,34.16,22.65,90.0,5.56,5.91,258.54,24.14,132.48,1.051,0.7247,0.4866,0.8381,0.1064,-0.0624,-0.2138,0.027,0.4315,0.3652,0.54,3,9.6,0.0,0.0,0.3259,0.1475,4.416
chickpea,5.029,849.33,9.59,770.55,24.27,33.45,17.23,70.51,15.26,6.23,205.48,19.3,132.37,0.882,0.7131,0.4727,0.8582,0.0779,-0.0283,-0.1958,0.0467,0.2991,0.1764,0.3666,1,0.15,0.0,0.0,0.0909,0.137,1.169
chickpea,1.961,493.35,30.07,430.97,30.39,39.19,23.35,78.58,4.44,7.14,242.26,23.14,64.25,0.673,0.7868,0.6442,0.9505,0.0906,-0.0942,-0.2123,0.0065,0.2125,0.0566,0.263,1,6.55,4.19,0.0,0.211,0.3097,1.372
rice,7.719,150.0,35.86,180.96,30.03,35.14,21.74,60.28,15.35,6.09,205.44,18.73,214.77,0.925,0.7567,0.4887,0.9168,0.1272,-0.3363,-0.47,-0.2569,0.1905,0.0638,0.3137,4,1.15,0.14,0.0,0.1283,0.2507,2.838
soybean,6.802,582.61,19.36,402.81,31.31,32.47,27.19,36.37,18.22,6.85,203.78,26.54,67.53,1.163,0.7267,0.479,0.8894,0.1145,-0.271,-0.407,-0.072,0.2475,0.148,0.3692,2,8.01,0.0,0.0,0.0548,0.0831,1.589
soybean,9.518,719.12,72.05,713.33,30.6,34.18,22.67,62.02,8.57,7.05,249.78,9.47,205.33,0.657,0.5961,0.4517,0.7622,0.0677,-0.121,-0.3169,-0.0245,0.3657,0.2739,0.5391,2,3.94,0.0,0.0,0.2154,0.0,1.32
wheat,5.529,882.87,23.69,650.1,31.27,41.03,24.06,41.04,15.16,7.04,211.38,28.05,316.86,0.729,0.7097,0.4785,0.8439,0.0962,-0.1693,-0.2598,-0.1117,0.0736,-0.0739,0.1869,4,0.89,6.03,0.0,0.0469,0.162,3.825
soybean,6.717,1012.07,41.0,1008.09,28.65,38.92,19.71,50.14,19.46,7.22,205.8,14.28,248.71,1.217,0.6389,0.464,0.7636,0.0763,-0.07,-0.2367,0.1225,0.2256,0.1144,0.3268,2,7.89,3.92,0.0,0.1512,0.2296,1.209
wheat,5.054,668.63,29.02,576.24,25.6,31.8,19.65,74.62,5.26,6.64,366.61,39.93,251.85,1.03,0.78,0.6142,0.9239,0.0983,-0.0907,-0.1623,0.0109,0.3249,0.2134,0.4409,2,7.19,0.0,0.0,0.125,0.1645,5.083
soybean,6.967,794.9,16.1,563.38,32.45,38.91,24.33,74.31,22.32,6.87,244.36,40.96,181.34,0.684,0.7005,0.5693,0.8485,0.1287,-0.3508,-0.5428,-0.2744,0.3039,0.152,0.4092,5,0.52,3.91,0.0,0.1994,0.075,1.497
chickpea,4.643,676.54,34.08,463.55,24.05,31.13,19.31,83.58,9.77,8.16,166.03,32.92,126.9,0.477,0.7214,0.4881,0.8855,0.105,-0.0337,-0.1563,0.0422,0.416,0.2756,0.5692,4,-1.57,0.0,0.0,0.2434,0.2395,1.727
soybean,1.81,727.9,26.67,820.8,25.58,32.58,20.33,68.0,16.93,6.37,183.18,29.19,180.11,0.773,0.8096,0.5133,0.9108,0.0939,0.051,-0.006,0.132,0.1635,0.0881,0.2698,5,2.2,0.0,0.0,0.0647,0.1531,2.204
maize,9.873,608.89,85.21,411.51,30.75,40.22,23.42,68.57,11.46,7.52,315.34,22.98,136.4,0.935,0.7245,0.6117,0.8901,0.0689,-0.0629,-0.1496,0.0639,0.2532,0.1209,0.3809,3,6.88,5.22,0.0,0.2019,0.2711,3.751
rice,7.343,735.02,52.59,907.32,26.96,36.34,21.85,75.27,14.8,6.99,322.0,21.37,206.22,0.806,0.8649,0.713,1.0,0.0507,-0.0127,-0.1834,0.0552,0.2492,0.0757,0.3851,2,10.53,1.34,0.0,0.2199,0.1392,3.36
wheat,6.282,489.42,7.35,413.02,25.93,30.46,18.13,41.46,11.93,7.23,318.97,6.37,189.51,0.578,0.787,0.6746,0.9517,0.0703,-0.136,-0.1932,0.0156,0.2187,0.0668,0.3982,3,4.54,0.0,0.0,0.0535,0.0,4.99
cotton,5.073,1085.62,15.59,1343.61,33.6,38.92,31.17,91.09,11.6,6.7,312.03,39.64,280.71,0.591,0.6506,0.4749,0.7638,0.0809,-0.2767,-0.4535,-0.1793,0.0501,-0.0876,0.1332,3,0.97,3.92,0.0,0.479,0.2676,0.454
chickpea,7.259,150.0,13.76,133.85,15.57,22.82,8.7,45.38,16.99,6.83,249.1,27.02,325.07,1.033,0.7848,0.582,0.9064,0.0629,0.0412,-0.0487,0.1807,0.2784,0.2035,0.3371,4,5.36,0.0,0.0,0.0291,0.0722,1.405
cotton,1.704,775.6,2.54,873.41,31.5,42.42,24.57,50.45,10.93,6.63,201.01,27.64,139.45,0.68,0.6498,0.3817,0.8383,0.0861,-0.2245,-0.417,-0.1407,0.0777,-0.0549,0.1843,2,5.67,7.42,0.0,0.0582,0.2506,0.577
chickpea,3.598,720.3,43.6,543.65,18.01,25.9,11.98,68.99,15.37,6.43,281.17,21.45,297.36,0.844,0.7192,0.5434,0.8902,0.067,0.237,0.122,0.4207,0.4293,0.2642,0.5641,3,9.56,0.0,0.0,0.077,0.1481,1.197
maize,1.685,731.68,38.04,564.63,27.43,34.88,18.86,56.92,5.69,7.47,185.22,23.03,157.06,0.876,0.6313,0.4163,0.7474,0.0812,-0.1972,-0.286,0.0004,0.2515,0.2008,0.3475,5,-4.37,0.0,0.0,0.071,0.0679,4.398
cotton,1.697,389.78,11.53,397.07,31.77,38.0,24.35,59.0,15.9,7.45,245.85,20.97,151.38,0.515,0.6761,0.3815,0.7908,0.1125,-0.2954,-0.4635,-0.1646,0.0924,-0.0756,0.1966,1,-6.5,3.0,0.0,0.1677,0.2736,0.847
soybean,0.703,280.81,11.92,341.88,30.0,34.94,23.95,81.64,11.94,6.51,297.66,5.46,193.36,0.526,0.683,0.5565,0.8156,0.0845,-0.311,-0.4689,-0.1283,0.2301,0.1372,0.3509,5,2.17,0.0,0.0,0.3138,0.2066,1.382
chickpea,7.681,783.27,4.35,934.32,24.58,29.86,18.94,63.11,19.45,7.04,238.19,16.94,78.32,0.457,0.7124,0.5827,0.8645,0.1008,0.0429,-0.0612,0.2013,0.2541,0.1316,0.3923,4,10.57,0.0,0.0,0.0856,0.0411,1.339
cotton,2.659,945.02,14.65,1047.17,29.61,35.03,22.54,53.54,4.93,6.16,179.23,23.49,236.39,0.731,0.7883,0.4894,0.9568,0.1124,-0.2286,-0.302,-0.0492,0.2189,0.1605,0.325,4,1.61,0.03,0.0,0.053,0.1206,1.162
wheat,8.404,698.45,36.82,791.41,24.0,33.25,17.06,64.61,9.83,6.41,208.3,27.61,245.23,0.685,0.697,0.4464,0.8445,0.0798,0.1034,0.0185,0.1568,0.2259,0.0741,0.3012,5,5.06,0.0,0.0,0.1801,0.1529,4.725
rice,9.092,827.16,91.69,1032.86,21.64,31.1,15.03,66.86,15.33,5.09,284.34,43.14,209.06,0.584,0.7429,0.46,0.8333,0.106,0.1655,0.0365,0.3498,0.3792,0.2311,0.5293,1,3.44,0.0,0.169,0.146,0.1364,3.535
maize,2.101,549.21,7.62,607.32,23.28,32.24,14.86,72.54,10.31,7.72,317.73,23.07,53.36,0.438,0.4776,0.3709,0.5911,0.1215,-0.0879,-0.2558,-0.0255,0.2623,0.1818,0.3855,5,-4.93,0.0,0.0,0.1193,0.3254,3.8
soybean,7.234,722.95,34.55,635.77,23.27,29.15,18.35,70.21,7.13,6.91,356.78,32.87,80.58,0.846,0.6834,0.4884,0.7945,0.1351,0.0957,-0.0972,0.2598,0.3095,0.2058,0.4493,3,13.36,0.0,0.0,0.0961,0.1398,1.676
cotton,4.873,919.65,100.15,778.63,30.44,37.32,23.85,74.61,9.11,6.48,140.04,20.42,167.11,0.39,0.7476,0.4769,0.882,0.1187,-0.1444,-0.2342,0.0089,0.2924,0.1652,0.3879,5,1.99,2.32,1.015,0.4366,0.2077,0.593
wheat,9.23,581.02,24.99,552.46,39.62,50.0,29.17,60.92,10.32,6.94,171.52,23.88,145.43,0.726,0.392,0.264,0.5873,0.1191,-0.5876,-0.6539,-0.395,0.0215,-0.1163,0.0775,3,-2.33,15.0,0.0,0.3079,0.4309,2.117
soybean,5.102,910.86,24.54,1104.04,29.12,37.52,22.56,73.57,4.9,5.04,236.91,26.45,142.08,1.135,0.6191,0.3756,0.7984,0.1011,-0.1311,-0.3261,0.0075,0.3186,0.1809,0.4446,1,2.49,2.52,0.0,0.2252,0.286,1.532
wheat,4.099,290.39,28.52,191.51,25.19,31.52,19.48,87.39,9.55,6.63,204.98,29.01,114.88,0.426,0.7925,0.5979,0.9734,0.1177,-0.2573,-0.404,-0.1347,0.3902,0.2664,0.5227,2,4.69,0.0,0.0,0.2698,0.1877,4.851
chickpea,3.298,515.14,26.05,620.12,21.66,26.58,15.02,62.1,30.47,5.29,399.02,20.48,200.24,0.629,0.7458,0.4927,0.8431,0.108,0.0387,-0.033,0.2149,0.2483,0.0902,0.3583,2,4.05,0.0,0.0,0.0958,0.0901,1.73
wheat,9.084,770.1,45.11,929.49,24.47,32.96,18.49,70.3,14.06,7.4,192.51,17.02,167.26,1.019,0.5385,0.3713,0.6568,0.1009,-0.0719,-0.1511,0.0572,0.2444,0.1684,0.3305,3,8.98,0.0,0.0,0.303,0.2085,4.907
maize,2.649,1068.62,120.51,773.36,22.35,30.0,16.0,85.26,14.85,7.56,277.13,32.74,116.58,0.678,0.8158,0.6737,1.0,0.0743,0.1802,0.053,0.2304,0.4553,0.293,0.5201,3,24.3,0.0,3.051,0.2129,0.2114,3.517
cotton,8.363,653.14,16.05,435.1,22.71,28.15,14.68,59.47,12.83,5.65,227.2,27.0,197.24,0.664,0.6089,0.4874,0.8016,0.0949,-0.1203,-0.1948,0.0026,0.3015,0.1361,0.4714,3,8.39,0.0,0.0,0.096,0.1249,0.448
soybean,2.345,422.54,9.01,430.11,24.52,32.74,17.11,40.43,20.57,7.02,179.14,28.64,110.18,0.774,0.7119,0.4518,0.8652,0.1247,-0.0302,-0.0939,0.0862,0.205,0.1266,0.3394,4,7.12,0.0,0.0,0.0682,0.2086,1.436
cotton,6.612,1063.62,12.23,734.56,26.85,31.8,23.93,74.7,13.59,6.43,249.19,27.84,149.73,0.915,0.6536,0.4267,0.7599,0.119,-0.1222,-0.2695,0.0038,0.1654,0.09,0.2283,1,5.71,0.0,0.0,0.2732,0.2563,0.726
wheat,4.785,622.25,47.5,677.87,23.27,33.73,13.74,77.25,10.41,5.56,206.98,9.95,165.12,0.903,0.6527,0.4019,0.7614,0.0569,0.0363,-0.0958,0.1585,0.4968,0.3929,0.6238,4,9.18,0.0,0.0,0.1429,0.1301,4.922
cotton,1.494,796.25,32.14,689.78,32.76,39.1,26.42,64.32,13.02,8.2,293.17,36.55,212.91,0.327,0.8214,0.6362,0.987,0.1185,-0.2235,-0.3155,-0.0356,0.1044,-0.0235,0.1914,5,9.25,4.1,0.0,0.2104,0.2109,0.434
wheat,1.696,576.43,53.0,476.46,33.18,41.79,27.66,60.1,20.38,5.82,275.32,20.22,113.15,0.678,0.6396,0.4315,0.7428,0.1039,-0.1754,-0.2303,-0.0334,0.1516,0.0612,0.2784,1,4.56,6.79,0.0,0.2712,0.381,3.732
soybean,3.174,681.3,5.44,547.72,27.05,36.76,19.22,78.3,18.68,7.46,172.78,25.35,91.67,0.86,0.6358,0.4412,0.792,0.058,-0.3433,-0.4846,-0.1863,0.2441,0.1812,0.4124,5,4.17,1.76,0.0,0.1556,0.1183,1.685
cotton,7.783,526.33,23.82,605.33,18.59,24.23,8.76,71.28,1.95,6.17,218.0,22.54,169.05,0.569,0.6524,0.5504,0.8511,0.0682,0.1786,0.0517,0.2647,0.373,0.239,0.5209,4,4.57,0.0,0.0,0.0768,0.0619,0.701
cotton,7.425,1146.68,44.07,1391.36,28.91,36.83,20.38,70.48,13.55,5.47,143.43,32.23,171.22,0.754,0.6377,0.3705,0.7795,0.1278,-0.2133,-0.2681,-0.0779,0.2397,0.0777,0.3878,5,10.92,1.83,0.0,0.1657,0.1642,0.834
chickpea,2.449,912.07,5.27,643.34,30.86,42.19,24.29,39.01,16.85,6.65,369.48,12.41,178.65,0.15,0.6603,0.3855,0.7832,0.1542,-0.2099,-0.3493,-0.1262,0.1529,0.023,0.2458,4,-0.1,7.19,0.0,0.0876,0.1446,1.051
cotton,5.024,1038.99,34.32,755.26,22.99,33.15,15.46,61.88,14.05,7.45,303.76,27.49,174.2,0.567,0.8298,0.6229,1.0,0.111,-0.0318,-0.2301,0.0444,0.4282,0.2948,0.5151,5,1.48,0.0,0.0,0.0411,0.1058,0.15
rice,1.421,476.54,24.49,517.96,21.31,24.16,14.53,67.04,30.39,5.86,232.59,13.54,147.97,0.91,0.6203,0.4796,0.7257,0.1471,-0.0391,-0.1179,0.1114,0.2582,0.168,0.4135,3,-10.0,0.0,0.0,0.1054,0.0521,2.912
wheat,7.301,248.49,77.64,298.09,34.7,42.71,30.43,51.28,16.89,6.92,194.24,26.57,168.67,0.659,0.6892,0.3985,0.8297,0.0588,-0.2487,-0.3638,-0.1913,0.3319,0.1643,0.5048,2,18.55,7.71,0.0,0.1446,0.2629,2.524
wheat,8.036,585.55,8.27,706.13,24.07,33.99,18.63,77.29,18.23,6.9,99.62,16.66,233.66,0.866,0.7331,0.5552,0.8854,0.075,-0.1473,-0.2489,0.0021,0.271,0.1865,0.4231,2,5.01,0.0,0.0,0.1512,0.1292,4.819
maize,8.988,1203.62,56.0,1414.62,24.74,33.91,20.82,72.9,5.53,6.76,272.19,15.18,143.5,0.446,0.7716,0.5933,0.8745,0.1337,0.1076,0.0505,0.2212,0.4812,0.352,0.602,3,12.24,0.0,0.0,0.2142,0.1951,4.151
rice,8.915,579.19,19.85,514.06,23.54,31.66,12.02,76.64,5.24,8.2,289.16,39.7,297.29,0.242,0.6889,0.5417,0.8275,0.0863,-0.0618,-0.2094,0.1207,0.2755,0.2072,0.367,3,-3.49,0.0,0.0,0.1488,0.061,3.588
rice,3.71,881.39,5.08,580.33,24.17,34.23,18.76,59.21,9.23,6.24,300.98,31.23,139.05,1.191,0.7362,0.5598,0.9102,0.0329,-0.0513,-0.2249,0.0363,0.2733,0.0988,0.3293,2,6.29,0.0,0.0,0.058,0.196,3.437
wheat,2.918,424.53,16.84,277.76,25.12,32.41,17.72,63.77,6.15,7.51,255.22,14.03,231.68,0.632,0.5956,0.3613,0.6868,0.1227,-0.0312,-0.0902,0.0932,0.378,0.2459,0.4873,3,9.46,0.0,0.0,0.0636,0.1337,4.66
rice,9.018,467.62,51.52,305.25,26.85,39.64,18.46,53.57,15.24,6.11,245.59,21.18,220.48,0.792,0.7994,0.6686,0.8947,0.0693,-0.1376,-0.221,-0.0252,0.3278,0.1745,0.4967,5,-1.79,4.64,0.0,0.1576,0.2158,3.384
wheat,1.887,632.45,48.53,603.76,22.13,27.48,15.2,55.98,8.91,6.01,320.06,31.39,187.56,0.362,0.7503,0.6291,0.9385,0.1124,0.1136,0.0221,0.2388,0.4163,0.3343,0.5135,3,0.91,0.0,0.0,0.0529,0.1,5.181
soybean,1.064,1114.13,40.8,918.23,16.32,24.08,8.57,74.25,3.41,6.98,333.82,33.82,122.02,0.703,0.8204,0.6993,0.9829,0.0363,0.3257,0.1263,0.5085,0.4442,0.3625,0.5315,2,10.81,0.0,0.0,0.0768,0.3357,1.585
soybean,3.485,892.05,12.25,1102.9,28.78,34.74,22.9,37.48,19.66,6.99,326.04,10.44,150.61,0.631,0.7453,0.5208,0.9383,0.0598,-0.1235,-0.2079,0.0005,0.2196,0.0612,0.2747,1,6.32,0.0,0.0,0.0387,0.1089,1.808
maize,7.723,198.3,78.98,205.57,24.48,34.2,16.56,63.15,14.35,7.37,131.85,37.56,232.11,0.716,0.6673,0.4772,0.7951,0.0719,0.0891,-0.0913,0.1726,0.4295,0.2866,0.6008,3,-0.29,0.0,0.0,0.147,0.1725,4.299
rice,7.095,796.68,28.32,911.57,21.35,28.62,16.25,76.17,14.24,6.72,176.17,30.83,165.84,0.625,0.692,0.4818,0.824,0.1421,0.1065,-0.0886,0.195,0.3895,0.2925,0.5629,5,8.16,0.0,0.0,0.1377,0.2287,3.048
soybean,9.877,397.28,23.76,473.52,27.52,31.01,21.42,72.66,9.4,5.63,174.33,14.29,84.86,1.061,0.5537,0.2752,0.6412,0.1094,-0.1119,-0.1953,-0.0306,0.2403,0.1092,0.3188,4,5.13,0.0,0.0,0.234,0.1822,1.647
maize,3.916,500.06,28.14,438.04,27.13,30.54,18.63,98.0,15.6,6.19,165.93,29.06,251.74,0.703,0.7834,0.5287,0.8924,0.0873,-0.0562,-0.2121,0.1406,0.3011,0.2324,0.437,4,8.83,0.0,0.0,0.1831,0.1296,4.467
soybean,3.121,762.29,9.24,548.59,32.05,35.77,26.2,73.85,15.11,7.12,232.01,34.48,85.4,0.88,0.4802,0.2952,0.6349,0.0715,-0.2866,-0.3616,-0.1001,0.1851,0.0721,0.3291,5,7.9,0.77,0.0,0.516,0.0948,1.432
soybean,4.093,957.66,5.44,637.15,15.93,20.0,7.68,37.99,16.38,6.27,292.21,23.77,260.25,0.454,0.9437,0.6983,1.0,0.1276,0.187,0.0294,0.2609,0.3521,0.1845,0.4438,3,4.93,0.0,0.0,0.0166,0.0931,1.255
soybean,7.931,946.84,24.91,1074.53,26.98,35.56,21.89,93.56,10.42,5.24,288.18,22.34,231.17,0.697,0.7483,0.6462,0.8589,0.0766,-0.1167,-0.2836,-0.0314,0.157,-0.0017,0.3093,2,4.45,0.56,0.0,0.3297,0.2322,1.762
rice,2.536,722.94,3.99,482.96,25.21,31.22,15.05,62.07,10.72,7.06,193.75,30.04,180.42,0.917,0.7933,0.6276,0.9142,0.0762,-0.0963,-0.2312,-0.032,0.1952,0.1145,0.2493,5,8.61,0.0,0.0,0.0799,0.1983,3.304
chickpea,9.504,726.04,50.0,718.91,22.76,30.15,12.95,49.89,9.55,6.51,344.75,26.36,160.08,1.0,0.7809,0.5287,0.9276,0.1207,0.1807,0.1044,0.318,0.4664,0.3453,0.5551,4,3.32,0.0,0.0,0.0307,0.0896,1.478
wheat,5.369,946.17,69.58,912.74,31.13,39.4,24.45,80.42,7.82,7.77,244.66,19.99,93.35,0.819,0.558,0.2713,0.6832,0.0921,-0.1398,-0.2468,-0.0756,0.1746,-0.0054,0.2526,1,7.62,4.4,0.0,0.3815,0.3472,3.657
wheat,7.94,303.38,115.7,287.86,28.6,32.5,19.52,82.72,25.11,7.65,233.86,24.7,52.34,0.758,0.6756,0.3925,0.8711,0.0968,-0.0116,-0.1237,0.1335,0.4266,0.3361,0.5455,2,2.53,0.0,2.57,0.3308,0.2162,4.723
wheat,8.359,1052.02,15.57,1296.46,27.09,33.17,19.79,94.13,1.0,4.93,131.97,18.8,203.2,0.526,0.6918,0.4152,0.7826,0.1582,-0.0923,-0.1557,-0.0183,0.2553,0.0974,0.3753,3,-5.85,0.0,0.0,0.5175,0.466,4.774
rice,5.049,488.08,48.6,346.26,23.53,35.06,18.68,79.95,5.76,6.63,338.76,10.6,174.61,1.036,0.8438,0.728,0.9849,0.0998,0.2538,0.1688,0.4272,0.3242,0.2612,0.3779,1,2.8,0.06,0.0,0.2189,0.0037,3.476
cotton,7.543,707.34,2.11,719.32,31.43,40.97,21.91,65.45,13.76,7.37,216.63,11.16,228.45,0.872,0.625,0.3502,0.8249,0.1077,-0.3179,-0.4955,-0.1458,0.0406,-0.1164,0.1959,5,10.05,5.97,0.0,0.1074,0.2896,0.312
wheat,3.965,540.82,46.85,410.07,19.07,27.31,14.82,62.85,7.89,7.06,164.37,25.6,144.15,0.405,0.6374,0.3636,0.7404,0.1034,0.2068,0.073,0.3815,0.327,0.2188,0.4412,1,6.44,0.0,0.0,0.088,0.1417,4.525
maize,8.204,395.68,25.44,283.82,31.88,39.87,25.36,63.77,13.76,5.82,333.65,28.6,198.12,0.15,0.8785,0.7188,0.9792,0.0802,-0.4208,-0.5633,-0.2329,0.3056,0.1465,0.4216,5,7.47,4.87,0.0,0.0822,0.2079,4.162
chickpea,8.327,751.55,39.13,767.66,23.51,30.47,18.07,81.63,4.24,6.64,244.21,32.78,111.32,0.872,0.7934,0.5114,0.9862,0.0837,0.0263,-0.1602,0.166,0.2996,0.1238,0.3869,1,8.01,0.0,0.0,0.196,0.2412,1.378
chickpea,5.879,702.04,62.96,636.87,25.87,30.86,16.57,64.0,1.0,5.83,206.96,26.62,150.86,0.868,0.7609,0.5275,0.9396,0.0636,0.0713,-0.1009,0.1616,0.4359,0.2617,0.5429,5,2.89,0.0,0.0,0.1269,0.1171,1.513
maize,2.572,626.81,21.13,429.54,33.37,43.9,26.49,85.99,10.73,7.11,175.1,36.35,165.46,0.505,0.6774,0.4376,0.7766,0.138,-0.2775,-0.3326,-0.1051,0.1009,0.0118,0.2265,5,-1.34,8.9,0.0,0.4067,0.3816,3.423
cotton,9.717,616.41,41.82,618.74,33.15,36.62,26.59,82.87,19.81,6.64,73.04,18.94,152.08,0.765,0.7743,0.5806,0.9274,0.0977,-0.2309,-0.3838,-0.1608,0.1377,0.0842,0.2867,5,6.39,1.62,0.0,0.3133,0.1178,0.1
chickpea,9.496,985.71,38.36,1216.91,28.89,32.88,21.62,69.3,14.8,8.05,244.46,20.24,196.87,1.161,0.6356,0.4663,0.7597,0.0558,-0.0884,-0.271,0.0388,0.2199,0.157,0.2707,3,-2.67,0.0,0.0,0.3956,0.1837,1.684
cotton,6.388,1132.42,33.16,743.49,28.94,36.18,18.88,57.38,18.23,6.57,285.03,21.51,131.22,0.521,0.6778,0.4382,0.8623,0.1235,-0.1085,-0.1784,0.0911,0.283,0.2021,0.4503,3,-8.81,1.18,0.0,0.1376,0.1196,0.474
wheat,9.847,925.64,13.98,767.91,26.21,33.43,17.23,53.7,21.18,6.63,287.3,24.23,203.77,0.274,0.706,0.5514,0.9007,0.1022,-0.1831,-0.3739,-0.0637,0.1956,0.1073,0.3251,4,7.6,0.0,0.0,0.1112,0.2281,4.693
soybean,5.277,711.03,11.58,754.97,31.7,41.87,21.47,84.89,17.62,4.8,321.12,30.63,222.29,0.573,0.7179,0.5427,0.8241,0.0779,-0.2432,-0.4355,-0.1759,0.14,0.0394,0.2566,5,-7.05,6.87,0.0,0.2398,0.3454,1.428
soybean,4.067,289.8,21.31,332.52,29.86,32.76,24.1,72.33,8.31,7.36,351.04,24.75,227.28,0.743,0.8565,0.7387,0.9633,0.0992,-0.2287,-0.3904,-0.1272,0.1732,0.0426,0.2794,5,2.97,0.0,0.0,0.0908,0.1738,1.49
chickpea,4.875,787.97,50.43,778.71,30.51,38.43,21.47,68.42,10.76,6.13,374.57,22.5,238.66,0.992,0.6534,0.4705,0.7401,0.0962,-0.2553,-0.3304,-0.0662,0.1873,0.0221,0.2483,5,-2.35,3.43,0.0,0.2876,0.1993,1.326
maize,0.936,797.71,33.3,692.49,22.91,30.35,16.97,55.5,6.63,5.59,155.78,27.63,254.52,0.604,0.7819,0.4979,0.9367,0.078,0.0781,-0.07,0.1724,0.2776,0.1959,0.3827,3,8.51,0.0,0.0,0.0429,0.0739,4.415
wheat,5.717,819.69,41.21,609.69,28.25,35.14,24.8,64.84,11.18,6.24,137.15,24.54,208.25,0.933,0.6087,0.4711,0.7383,0.0845,0.0302,-0.1366,0.1909,0.2622,0.2105,0.4342,4,3.37,0.14,0.0,0.1874,0.0746,4.741
rice,6.829,398.98,39.06,298.26,26.88,31.07,21.17,67.98,8.8,6.65,262.59,32.85,230.58,0.671,0.6834,0.5062,0.8826,0.1195,-0.0709,-0.2207,0.0666,0.1865,0.0765,0.3631,3,11.61,0.0,0.0,0.14,0.097,3.219
wheat,1.54,837.01,110.25,1019.29,23.9,30.01,17.68,75.17,15.07,7.96,118.03,21.97,113.37,0.968,0.6771,0.5312,0.8569,0.0858,0.2299,0.1336,0.4219,0.461,0.3743,0.6026,4,5.94,0.0,2.025,0.3402,0.2673,5.048
cotton,2.928,993.55,47.02,649.43,27.43,33.89,23.25,74.83,7.08,6.97,145.82,25.03,109.12,0.56,0.7327,0.5763,0.8827,0.02,-0.0936,-0.2536,0.09,0.2706,0.1826,0.3372,2,12.32,0.0,0.0,0.2231,0.2915,0.753
maize,7.351,433.82,13.95,454.21,34.06,45.91,23.25,82.07,10.61,7.26,184.46,27.59,246.81,0.768,0.6188,0.3446,0.8029,0.0744,-0.3306,-0.5268,-0.2783,0.0766,-0.0991,0.2085,5,12.25,10.91,0.0,0.406,0.4237,2.104
chickpea,8.039,800.62,25.04,793.89,29.8,38.06,25.15,82.01,19.62,6.26,185.76,28.73,142.48,0.58,0.6632,0.4361,0.858,0.1087,-0.1084,-0.2019,-0.0359,0.1569,0.0134,0.2663,5,-0.45,3.06,0.0,0.1751,0.2141,1.536
wheat,9.866,471.41,53.53,523.48,26.94,31.56,20.11,77.17,19.53,8.2,246.24,20.42,148.05,0.833,0.8245,0.6446,0.933,0.0874,-0.0289,-0.1714,0.0353,0.3012,0.2465,0.4798,5,-0.36,0.0,0.0,0.1946,0.0,4.822
rice,2.906,627.06,4.6,456.9,25.73,36.02,20.97,46.13,16.77,6.22,192.16,22.57,172.38,0.48,0.7705,0.4748,0.9248,0.1276,-0.0726,-0.2071,0.0118,0.1367,0.0057,0.2251,5,7.98,1.02,0.0,0.0332,0.193,3.22
soybean,8.494,441.29,27.44,449.58,25.62,34.14,17.1,64.44,6.17,6.39,328.91,20.75,141.95,0.86,0.7682,0.5734,0.9165,0.1641,-0.0551,-0.1495,0.1424,0.1731,0.0012,0.3254,1,0.96,0.0,0.0,0.1756,0.1803,2.085
chickpea,2.135,572.84,20.41,583.14,28.22,34.99,21.48,79.84,32.19,5.35,217.92,28.47,187.15,0.373,0.6681,0.5237,0.787,0.0702,-0.1462,-0.2102,-0.085,0.2194,0.1299,0.3022,4,6.79,0.0,0.0,0.139,0.1808,1.567
maize,1.743,574.55,12.4,659.95,27.3,34.15,20.12,75.22,10.92,6.37,165.64,35.55,171.55,0.609,0.5574,0.4241,0.6696,0.0941,-0.0957,-0.1554,-0.0252,0.1077,0.0238,0.1811,2,7.0,0.0,0.0,0.1813,0.1428,4.74
maize,7.427,740.7,11.78,925.43,32.46,38.41,24.31,85.13,15.45,6.78,286.33,23.54,234.19,0.789,0.6676,0.4733,0.8545,0.1556,-0.2542,-0.3698,-0.1389,0.1194,0.0394,0.2577,5,6.83,3.41,0.0,0.1441,0.1634,3.959
rice,4.736,845.88,45.7,894.1,25.54,32.88,20.21,40.68,11.11,7.14,235.81,28.07,161.32,0.871,0.8818,0.7663,0.9647,0.0575,0.0069,-0.0456,0.0735,0.3098,0.1789,0.3934,1,6.97,0.0,0.0,0.0824,0.0302,3.258
